R,side,crowd,h1,h4,year,crowd_excursion_atr,confirm_bars,abs_z,trend_relation,response_bucket
-1.0036270852336726,-1,1,1,1,2021,0.3596812104042288,2,2.5886078118459155,-1,1
0.9475136715740174,1,-1,1,1,2021,0.5371754574710856,3,3.428411961502728,1,1
-1.0039360972745253,-1,1,1,1,2021,0.09038260704452439,1,2.769236751381436,-1,0
2.22002416789049,-1,1,1,1,2021,1.052990687105958,1,2.6296271563992124,-1,2
-1.0025637888700016,1,-1,-1,1,2021,0.511643020166664,1,2.876037929403145,0,1
-0.1885621672243072,-1,1,-1,1,2021,0.003408067382360814,1,3.348114797812593,0,0
-1.002731357597391,-1,1,-1,-1,2021,0.8359631084960217,2,4.052252210249436,1,2
0.20987476349918086,1,-1,1,1,2021,0.009975648901422116,1,2.988043104630555,1,0
2.2188833945534587,-1,1,-1,1,2021,0.9437561686003437,2,3.4577974396256335,0,2
0.27229933701245307,-1,1,1,1,2021,0.3506415733701245,2,2.9516087701554454,-1,1
-1.0027834874126926,-1,1,-1,1,2021,0.683873209983444,2,2.585705374365537,0,1
-1.00239653180806,-1,1,0,1,2021,0.2298474810436564,2,3.9201850350410976,0,0
0.3107219774080718,-1,1,-1,0,2021,0.4161482095949112,2,2.5536720429457134,0,1
1.5492926613666178,1,-1,1,1,2021,0.24863063413038403,1,2.7899561450479724,1,0
-1.0037257037851182,1,-1,1,1,2021,0.6884603112702882,1,3.931420720617004,1,1
-1.001883412059018,-1,1,1,1,2021,0.18634808820275203,1,2.672458238147507,-1,0
0.08944274375108732,-1,1,0,1,2021,0.6617200838030591,2,2.5650564079065488,0,1
-1.0026208248151431,-1,1,-1,0,2021,0.2945043967454767,2,2.5655359255200665,0,1
-1.0033316791757307,1,-1,1,1,2021,0.027345882842335915,1,2.6479581116658935,1,0
2.2194930891991196,-1,1,0,1,2021,0.3094353569749517,1,3.1890744315066915,0,1
0.7388732734387206,-1,1,-1,-1,2021,0.18509746630928187,1,2.55562576856542,1,0
2.219984945379126,-1,1,-1,-1,2021,0.8128417135074063,2,2.9657400661764615,1,2
1.224043171954708,1,-1,-1,-1,2021,0.19278859523471445,1,2.647595099456752,-1,0
-1.0026245488347512,1,-1,0,-1,2021,0.4023812910173181,1,4.3812453006881285,0,1
-1.0026949589279313,1,-1,1,-1,2021,0.4432894439846466,3,2.9026198500337577,0,1
