flow_id,signal_time,side,origin,entry,atr14,reaccept_time,state,class_time,class_close,residual_atr,class_delay_h,post_class_mae_atr,post_class_mfe_atr,audit_first_passage,plus05_time,second_fail_time
1999,2024-06-07 06:00:00+00:00,1,71244.2,71317.19642857142,145.99285714285776,2024-06-07 09:45:00+00:00,SECOND_FAIL,2024-06-07 15:30:00+00:00,70992.3,-16.77684818239635,5.75,17.722099907040405,1.797348206859388,PLUS05_FIRST,2024-06-07 10:00:00+00:00,2024-06-07 15:30:00+00:00
2007,2024-06-14 04:15:00+00:00,-1,66830.8,66755.01071428572,151.57857142857185,2024-06-14 14:15:00+00:00,SECOND_FAIL,2024-06-14 14:45:00+00:00,66980.0,10.993638377079288,0.5,0.5693416898355579,11.196833325479428,PLUS05_FIRST,2024-06-14 14:30:00+00:00,2024-06-14 14:45:00+00:00
2008,2024-06-14 16:15:00+00:00,1,65313.6,65493.07142857143,358.942857142858,2024-06-14 17:15:00+00:00,SECOND_FAIL,2024-06-14 18:15:00+00:00,65258.1,2.66059062325879,1.0,0.5167953514287976,3.874432858393699,PLUS05_FIRST,2024-06-14 17:30:00+00:00,2024-06-14 18:15:00+00:00
2010,2024-06-16 15:15:00+00:00,1,66577.4,66638.91785714285,123.0357142857174,2024-06-16 18:15:00+00:00,SECOND_FAIL,2024-06-16 19:45:00+00:00,66542.5,-1.797851959361324,1.5,3.3299274310593985,3.395761973875119,SECOND_FAIL_FIRST,2024-06-16 22:00:00+00:00,2024-06-16 19:45:00+00:00
2018,2024-06-20 16:45:00+00:00,-1,64863.9,64716.264285714286,295.27142857142826,2024-06-21 00:00:00+00:00,SECOND_FAIL,2024-06-21 01:30:00+00:00,64887.4,0.8104407566887717,1.5,0.5693066911800237,1.9893560404470534,SECOND_FAIL_FIRST,2024-06-21 03:45:00+00:00,2024-06-21 01:30:00+00:00
2019,2024-06-21 04:45:00+00:00,-1,64648.1,64572.389285714286,151.42142857142866,2024-06-21 07:30:00+00:00,PERSIST2,2024-06-21 08:00:00+00:00,64272.2,4.158592386433301,0.5,0.5137978206519365,6.0163215246002135,PLUS05_FIRST,2024-06-21 07:45:00+00:00,
2029,2024-06-26 05:15:00+00:00,1,61575.5,61657.45714285714,163.91428571428438,2024-06-26 07:30:00+00:00,SECOND_FAIL,2024-06-26 08:15:00+00:00,61500.8,-2.233484399511994,0.75,4.09238277845569,2.797803730172578,PLUS05_FIRST,2024-06-26 08:00:00+00:00,2024-06-26 08:15:00+00:00
2032,2024-06-27 21:30:00+00:00,-1,61578.5,61510.61785714286,135.764285714285,2024-06-28 05:30:00+00:00,SECOND_FAIL,2024-06-28 06:15:00+00:00,61589.9,1.3987478297469536,0.75,0.4124796127742433,3.005208607355201,SECOND_FAIL_FIRST,2024-06-28 07:30:00+00:00,2024-06-28 06:15:00+00:00
2033,2024-06-28 09:45:00+00:00,-1,61530.2,61466.41785714286,127.5642857142853,2024-06-28 12:45:00+00:00,PERSIST2,2024-06-28 13:15:00+00:00,61462.8,8.602721316983073,0.5,2.894227000391946,11.169270395878888,PLUS05_FIRST,2024-06-28 13:00:00+00:00,
2040,2024-07-02 09:00:00+00:00,-1,62742.0,62669.16071428572,145.6785714285704,2024-07-02 13:45:00+00:00,PERSIST2,2024-07-02 14:15:00+00:00,62325.6,2.7292963961755428,0.5,0.7846040696249337,3.6079431233145534,PLUS05_FIRST,2024-07-02 14:00:00+00:00,
2041,2024-07-02 22:00:00+00:00,-1,62042.0,61975.50357142857,132.99285714285568,2024-07-03 01:45:00+00:00,PERSIST2,2024-07-03 02:15:00+00:00,61527.5,9.530587034749555,0.5,0.5451420591868581,10.329878081529756,PLUS05_FIRST,2024-07-03 02:00:00+00:00,
2042,2024-07-03 10:00:00+00:00,-1,60260.0,60163.45,193.10000000000167,2024-07-03 12:30:00+00:00,SECOND_FAIL,2024-07-03 13:30:00+00:00,60540.0,1.6110823407560635,1.0,0.8285862247540063,6.425168306576833,PLUS05_FIRST,2024-07-03 12:45:00+00:00,2024-07-03 13:30:00+00:00
2047,2024-07-06 02:00:00+00:00,1,56176.0,56290.01071428572,228.02142857142823,2024-07-06 05:00:00+00:00,PERSIST2,2024-07-06 05:30:00+00:00,56429.2,1.234971650534125,0.5,0.4683770322337942,4.011903643141327,PLUS05_FIRST,2024-07-06 05:30:00+00:00,
2050,2024-07-07 15:30:00+00:00,-1,56840.5,56725.125,230.7500000000005,2024-07-07 21:00:00+00:00,PERSIST2,2024-07-07 21:30:00+00:00,56339.2,4.977681473456104,0.5,1.866088840736749,9.083856988082314,PLUS05_FIRST,2024-07-07 21:15:00+00:00,
2054,2024-07-09 16:30:00+00:00,1,57554.0,57758.12142857143,408.2428571428568,2024-07-09 18:30:00+00:00,PERSIST2,2024-07-09 19:00:00+00:00,57823.7,3.152290303390845,0.5,1.24386744584805,3.933932883087801,PLUS05_FIRST,2024-07-09 18:45:00+00:00,
2056,2024-07-10 17:00:00+00:00,-1,57688.0,57561.70714285714,252.5857142857141,2024-07-11 00:00:00+00:00,PERSIST2,2024-07-11 00:30:00+00:00,57384.1,-1.8088908998359894,0.5,3.9428199762456964,1.401900345003106,PLUS05_FIRST,2024-07-11 00:15:00+00:00,2024-07-11 01:45:00+00:00
