month,trades,net40_r,expectancy_net40,parent
2026-05,0,0.0,,P2_G1_D14
2026-06,0,0.0,,P2_G1_D14
2023-01,20,-10.518560305465384,-0.5259280152732692,P3_EXPANSION_D14
2023-02,0,0.0,,P3_EXPANSION_D14
2023-03,14,-1.269999980414892,-0.09071428431534943,P3_EXPANSION_D14
2023-04,2,-2.32527900097622,-1.16263950048811,P3_EXPANSION_D14
2023-05,6,-1.9880066261826876,-0.3313344376971146,P3_EXPANSION_D14
2023-06,0,0.0,,P3_EXPANSION_D14
2023-07,7,-4.028153562036514,-0.5754505088623592,P3_EXPANSION_D14
2023-08,0,0.0,,P3_EXPANSION_D14
2023-09,0,0.0,,P3_EXPANSION_D14
2023-10,10,5.920527093249532,0.5920527093249532,P3_EXPANSION_D14
2023-11,9,1.589179278644934,0.17657547540499266,P3_EXPANSION_D14
2023-12,12,-1.5157046081778442,-0.1263087173481537,P3_EXPANSION_D14
2024-01,0,0.0,,P3_EXPANSION_D14
2024-02,2,-0.04472799570195418,-0.02236399785097709,P3_EXPANSION_D14
2024-03,21,9.627307662920003,0.45844322204380966,P3_EXPANSION_D14
2024-04,20,1.4307559064042457,0.07153779532021229,P3_EXPANSION_D14
2024-05,16,-6.13797651625253,-0.3836235322657831,P3_EXPANSION_D14
2024-06,2,-2.157864141143591,-1.0789320705717955,P3_EXPANSION_D14
2024-07,19,-2.175890253475076,-0.11452053965658295,P3_EXPANSION_D14
2024-08,17,-1.9124678557415766,-0.11249810916126922,P3_EXPANSION_D14
2024-09,19,-2.1459880417349124,-0.1129467390386796,P3_EXPANSION_D14
2024-10,16,8.895388700828804,0.5559617938018002,P3_EXPANSION_D14
2024-11,1,1.3743503051888228,1.3743503051888228,P3_EXPANSION_D14
2024-12,6,0.6339120206780933,0.10565200344634888,P3_EXPANSION_D14
2025-01,18,-4.985925205170332,-0.27699584473168515,P3_EXPANSION_D14
2025-02,16,5.843394251165628,0.36521214069785174,P3_EXPANSION_D14
2025-03,16,4.211496330084174,0.26321852063026085,P3_EXPANSION_D14
2025-04,25,4.966922335812453,0.19867689343249811,P3_EXPANSION_D14
2025-05,10,5.728300010314651,0.5728300010314651,P3_EXPANSION_D14
2025-06,10,-4.049034657186318,-0.4049034657186318,P3_EXPANSION_D14
2025-07,7,-3.004762300448966,-0.42925175720699515,P3_EXPANSION_D14
2025-08,6,-4.3971530676884125,-0.7328588446147354,P3_EXPANSION_D14
2025-09,33,2.6018818999962496,0.07884490606049241,P3_EXPANSION_D14
2025-10,30,9.32748610598016,0.310916203532672,P3_EXPANSION_D14
2025-11,8,-0.9358127153491964,-0.11697658941864955,P3_EXPANSION_D14
2025-12,16,3.0507124107831887,0.1906695256739493,P3_EXPANSION_D14
2026-01,21,3.976556064804466,0.1893598126097365,P3_EXPANSION_D14
2026-02,5,-0.15849288194183608,-0.03169857638836722,P3_EXPANSION_D14
2026-03,4,-1.5941942011404133,-0.39854855028510333,P3_EXPANSION_D14
2026-04,0,0.0,,P3_EXPANSION_D14
2026-05,0,0.0,,P3_EXPANSION_D14
2026-06,0,0.0,,P3_EXPANSION_D14
2023-01,42,-21.363470184500077,-0.5086540520119066,P4_PULLBACK_OR_EXPANSION_D14
2023-02,6,1.8422070377886557,0.3070345062981093,P4_PULLBACK_OR_EXPANSION_D14
2023-03,25,-4.302422527580565,-0.1720969011032226,P4_PULLBACK_OR_EXPANSION_D14
2023-04,17,-1.4307102973453039,-0.08415942925560611,P4_PULLBACK_OR_EXPANSION_D14
2023-05,16,-9.340778022716457,-0.5837986264197785,P4_PULLBACK_OR_EXPANSION_D14
2023-06,0,0.0,,P4_PULLBACK_OR_EXPANSION_D14
2023-07,19,-3.870081753606721,-0.20368851334772214,P4_PULLBACK_OR_EXPANSION_D14
2023-08,3,-1.5405786078101724,-0.5135262026033908,P4_PULLBACK_OR_EXPANSION_D14
2023-09,4,-3.74962296141857,-0.9374057403546425,P4_PULLBACK_OR_EXPANSION_D14
2023-10,20,-1.3851729969103588,-0.06925864984551794,P4_PULLBACK_OR_EXPANSION_D14
2023-11,31,-13.56137288222291,-0.43746364136202937,P4_PULLBACK_OR_EXPANSION_D14
2023-12,30,-14.413580337199427,-0.4804526779066476,P4_PULLBACK_OR_EXPANSION_D14
2024-01,12,-1.9820175300886382,-0.16516812750738652,P4_PULLBACK_OR_EXPANSION_D14
2024-02,12,-8.342480652594684,-0.695206721049557,P4_PULLBACK_OR_EXPANSION_D14
2024-03,33,9.986536076130909,0.3026223053373003,P4_PULLBACK_OR_EXPANSION_D14
2024-04,33,-3.0316406846738846,-0.09186789953557226,P4_PULLBACK_OR_EXPANSION_D14
2024-05,20,-7.673702937701675,-0.38368514688508376,P4_PULLBACK_OR_EXPANSION_D14
2024-06,5,-3.03689332694226,-0.607378665388452,P4_PULLBACK_OR_EXPANSION_D14
2024-07,25,0.4157151168327968,0.016628604673311873,P4_PULLBACK_OR_EXPANSION_D14
2024-08,40,-8.03573212666665,-0.20089330316666626,P4_PULLBACK_OR_EXPANSION_D14
2024-09,32,-6.431428901297956,-0.20098215316556112,P4_PULLBACK_OR_EXPANSION_D14
2024-10,40,5.82818789105824,0.14570469727645602,P4_PULLBACK_OR_EXPANSION_D14
2024-11,5,-3.027982018932807,-0.6055964037865614,P4_PULLBACK_OR_EXPANSION_D14
2024-12,6,0.6339120206780933,0.10565200344634888,P4_PULLBACK_OR_EXPANSION_D14
2025-01,34,-1.649547126878918,-0.048516091967027,P4_PULLBACK_OR_EXPANSION_D14
2025-02,34,11.095614944272565,0.32634161600801664,P4_PULLBACK_OR_EXPANSION_D14
2025-03,36,4.208632265511646,0.11690645181976794,P4_PULLBACK_OR_EXPANSION_D14
2025-04,31,2.242212973154067,0.07232945074690539,P4_PULLBACK_OR_EXPANSION_D14
2025-05,24,2.447790189825494,0.10199125790939557,P4_PULLBACK_OR_EXPANSION_D14
2025-06,20,-7.1760014503326905,-0.35880007251663454,P4_PULLBACK_OR_EXPANSION_D14
2025-07,22,-7.102728504048523,-0.32285129563856924,P4_PULLBACK_OR_EXPANSION_D14
2025-08,16,-10.644744489307293,-0.6652965305817058,P4_PULLBACK_OR_EXPANSION_D14
2025-09,43,6.220994807576162,0.1446742978506084,P4_PULLBACK_OR_EXPANSION_D14
2025-10,32,14.6016454614054,0.45630142066891877,P4_PULLBACK_OR_EXPANSION_D14
2025-11,15,-1.3380032716293428,-0.08920021810862286,P4_PULLBACK_OR_EXPANSION_D14
2025-12,41,2.811511376749265,0.06857344821339671,P4_PULLBACK_OR_EXPANSION_D14
2026-01,38,3.407662278400865,0.08967532311581224,P4_PULLBACK_OR_EXPANSION_D14
2026-02,23,7.390844065826258,0.32134104634027205,P4_PULLBACK_OR_EXPANSION_D14
2026-03,12,-2.3576340141320165,-0.19646950117766804,P4_PULLBACK_OR_EXPANSION_D14
2026-04,0,0.0,,P4_PULLBACK_OR_EXPANSION_D14
2026-05,0,0.0,,P4_PULLBACK_OR_EXPANSION_D14
2026-06,0,0.0,,P4_PULLBACK_OR_EXPANSION_D14
2023-01,42,-21.363470184500077,-0.5086540520119066,P5_NONRANGE_D14
2023-02,6,1.8422070377886557,0.3070345062981093,P5_NONRANGE_D14
2023-03,25,-4.302422527580565,-0.1720969011032226,P5_NONRANGE_D14
2023-04,17,-1.4307102973453039,-0.08415942925560611,P5_NONRANGE_D14
2023-05,16,-9.340778022716457,-0.5837986264197785,P5_NONRANGE_D14
2023-06,0,0.0,,P5_NONRANGE_D14
2023-07,19,-3.870081753606721,-0.20368851334772214,P5_NONRANGE_D14
2023-08,3,-1.5405786078101724,-0.5135262026033908,P5_NONRANGE_D14
2023-09,4,-3.74962296141857,-0.9374057403546425,P5_NONRANGE_D14
