period,candidate_time,side_name,R,anchor_high,anchor_low,resolution_1m,resolution_3m,resolution_5m,resolution_minute_3m,resolution_close_3m,mfe_15m,mae_15m,mfe_60m,mae_60m,ret_60m,impulse60,delayed_release_R,delayed_minus_original_R
historical,2023-06-10 01:50:00,SELL,-1.0219629113848483,26437.3,26355.0,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,-0.3249419746473874,2.2445991787180883,2.297089805391952,2.2445991787180883,0.05748973397605804,0,,
historical,2023-06-24 15:20:00,SELL,1.4869469733064513,30597.8,30525.0,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,3.4031519149715823,0.5862195345427976,3.9162543522081585,0.5862195345427976,0.9723291185633026,0,,
historical,2023-07-05 08:35:00,BUY,-1.0259839966232511,30781.0,30722.0,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,0.012662807525325549,1.2409551374819037,0.4431982633863942,1.6309696092619674,-1.1877713458755732,0,,
historical,2023-07-06 07:35:00,BUY,4.529311663249272,30820.0,30756.8,UNRESOLVED,RELEASE,RELEASE,3.0,30820.6,0.5116391267639451,0.32927270534314085,1.7966469665902907,0.9202749969846757,1.3120250874442196,0,2.0043224219032605,-2.5249892413460118
historical,2023-08-14 00:40:00,SELL,2.217889251700654,29295.0,29270.6,RELEASE,RELEASE,RELEASE,1.0,29258.0,1.227210884353702,0.21768707482993196,1.7850340136054026,0.4326530612245294,0.7836734693877353,1,2.5063419501133786,0.2884526984127245
historical,2023-08-21 10:20:00,BUY,-1.0177776050830747,26001.8,25943.5,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,0.2832844574779909,0.8970674486803668,0.2832844574779909,2.457184750733153,-0.755425219941334,0,,
historical,2023-08-26 14:40:00,BUY,-1.058874124293804,26054.9,26037.0,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,0.20338983050847814,1.1322033898305777,1.2338983050848167,1.166101694915324,-0.7254237288136214,0,,
historical,2023-09-04 11:20:00,SELL,2.5833308755760584,25903.6,25845.2,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,0.7926267281106998,0.46082949308756416,2.0706605222734997,0.9493087557603151,1.4439324116743677,0,,
historical,2023-09-14 00:55:00,BUY,-1.021073327640175,26500.0,26316.5,UNRESOLVED,UNRESOLVED,RELEASE,,,2.3241673783091694,3.3356105892399865,2.3241673783091694,7.960034158838683,-6.152348420153736,0,,
historical,2023-09-17 16:40:00,SELL,1.4696169041769054,26512.3,26488.8,UNRESOLVED,RELEASE,RELEASE,3.0,26488.6,0.6651141127154677,0.24778761061942284,0.8281322775966982,0.49231485794126856,0.035863996273941864,0,2.054895171557186,0.5852782673802805
historical,2023-09-27 11:20:00,BUY,2.315511849819815,26529.5,26459.1,RELEASE,RELEASE,RELEASE,1.0,26538.3,3.6142191142191216,0.3181818181817878,6.6716200466200775,0.3181818181817878,5.851689976689994,1,1.4819572552447393,-0.8335545945750755
historical,2023-10-04 02:40:00,SELL,-0.6830815970555455,27446.5,27376.8,UNRESOLVED,UNRESOLVED,RELEASE,,,0.3499128124221373,0.277837748069435,0.3499128124221373,0.7428381632483775,-0.11392510171887472,0,,
