flow_id,signal_time,side,origin,entry,extension050,atr14,reaccept_time,state,class_time,class_price,residual_atr,class_delay_h,post_class_mae_atr,post_class_mfe_atr
931,2022-07-28 04:00:00+00:00,-1,23113.7,23054.042857142857,22994.385714285712,119.3142857142853,2022-07-28 07:00:00+00:00,EXTENSION050_FIRST,2022-07-28 07:15:00+00:00,22994.385714285712,-6.518199233716502,0.25,8.424928160919574,3.44707854406131
937,2022-08-02 05:30:00+00:00,-1,22884.5,22841.425,22798.35,86.15000000000016,2022-08-02 07:00:00+00:00,EXTENSION050_FIRST,2022-08-02 07:15:00+00:00,22798.35,-4.405687753917611,0.25,7.549042367962866,2.267556587347628
940,2022-08-03 22:45:00+00:00,-1,22920.1,22869.842857142856,22819.585714285713,100.51428571428576,2022-08-04 06:15:00+00:00,EXTENSION050_FIRST,2022-08-04 06:30:00+00:00,22819.585714285713,-0.32447413303015027,0.25,1.962052302444575,0.6922967595224432
941,2022-08-04 10:45:00+00:00,-1,22852.2,22812.128571428573,22772.057142857146,80.14285714285741,2022-08-04 15:30:00+00:00,SECOND_FAIL_FIRST,2022-08-04 16:00:00+00:00,22930.1,4.030303030303017,0.5,0.21087344028522245,6.9887700534758945
946,2022-08-07 13:30:00+00:00,1,23127.5,23152.15357142857,23176.807142857142,49.307142857143326,2022-08-07 17:00:00+00:00,EXTENSION050_FIRST,2022-08-07 17:15:00+00:00,23176.807142857142,0.22700275242649595,0.25,2.72997247573513,4.526582645226687
957,2022-08-13 10:45:00+00:00,-1,24486.9,24437.41071428572,24387.921428571433,98.97857142857174,2022-08-13 18:30:00+00:00,EXTENSION050_FIRST,2022-08-13 18:45:00+00:00,24387.921428571433,0.1467128527098549,0.25,1.5001082485386064,0.7902864977989849
962,2022-08-16 13:45:00+00:00,-1,23890.0,23851.475,23812.949999999997,77.05000000000005,2022-08-16 18:30:00+00:00,EXTENSION050_FIRST,2022-08-16 18:45:00+00:00,23812.949999999997,-1.5178455548345786,0.25,3.076573653471807,0.40687865022710606
968,2022-08-19 18:45:00+00:00,-1,21365.1,21319.72142857143,21274.34285714286,90.7571428571425,2022-08-19 19:45:00+00:00,EXTENSION050_FIRST,2022-08-19 20:15:00+00:00,21274.34285714286,-0.2838029277506289,0.5,0.5074767826223759,5.667243821816513
979,2022-08-25 15:30:00+00:00,-1,21562.1,21519.792857142857,21477.485714285714,84.61428571428483,2022-08-26 00:00:00+00:00,EXTENSION050_FIRST,2022-08-26 00:15:00+00:00,21477.485714285714,-0.9550903258483865,0.25,1.4916427486071464,0.6415667735944628
981,2022-08-27 00:00:00+00:00,1,20183.6,20239.18571428571,20294.771428571425,111.17142857142817,2022-08-27 07:45:00+00:00,SECOND_FAIL_FIRST,2022-08-27 09:15:00+00:00,20136.7,0.7402981238756066,1.5,0.03328193266513131,0.9498843484965208
986,2022-08-29 16:15:00+00:00,1,20283.0,20343.76428571429,20404.528571428575,121.52857142857154,2022-08-30 04:15:00+00:00,NONE,2022-08-30 04:15:00+00:00,,,0.0,0.0,0.0
991,2022-09-01 06:15:00+00:00,-1,20022.9,19988.66071428572,19954.421428571433,68.47857142857174,2022-09-01 12:15:00+00:00,EXTENSION050_FIRST,2022-09-01 12:30:00+00:00,19954.421428571433,1.3496401376865141,0.25,1.1766976113486263,5.832794409095694
993,2022-09-02 08:15:00+00:00,-1,20093.1,20069.60357142857,20046.107142857145,46.99285714285698,2022-09-02 10:30:00+00:00,EXTENSION050_FIRST,2022-09-02 10:45:00+00:00,20046.107142857145,2.7154582763338433,0.25,8.260677914576652,6.599027207782405
995,2022-09-03 08:15:00+00:00,-1,19833.8,19810.65357142857,19787.507142857143,46.29285714285704,2022-09-03 11:45:00+00:00,EXTENSION050_FIRST,2022-09-03 12:00:00+00:00,19787.507142857143,1.8211695725968076,0.25,2.300416602376184,3.4304891220490563
996,2022-09-03 20:15:00+00:00,-1,19703.2,19676.37142857143,19649.54285714286,53.65714285714239,2022-09-04 07:45:00+00:00,EXTENSION050_FIRST,2022-09-04 08:00:00+00:00,19649.54285714286,0.03993610223645113,0.25,0.3588924387645766,0.4182641107562105
999,2022-09-05 09:15:00+00:00,1,19738.8,19760.275,19781.75,42.94999999999891,2022-09-05 14:00:00+00:00,EXTENSION050_FIRST,2022-09-05 14:15:00+00:00,19781.75,-1.314318975553019,0.25,2.8346915017462884,3.777648428405218
1005,2022-09-08 11:30:00+00:00,1,19282.0,19311.492857142857,19340.985714285714,58.98571428571476,2022-09-08 13:30:00+00:00,EXTENSION050_FIRST,2022-09-08 13:45:00+00:00,19340.985714285714,-0.7524824412690946,0.25,4.424558004359377,1.8481472511503814
1019,2022-09-18 22:00:00+00:00,-1,19398.7,19351.85357142857,19305.007142857143,93.69285714285668,2022-09-19 02:15:00+00:00,EXTENSION050_FIRST,2022-09-19 02:30:00+00:00,19305.007142857143,9.112830677746471,0.25,0.0,11.633833955935103
1024,2022-09-21 13:45:00+00:00,1,19263.6,19302.38928571429,19341.178571428576,77.57857142857107,2022-09-21 17:30:00+00:00,EXTENSION050_FIRST,2022-09-21 17:45:00+00:00,19341.178571428576,-10.827456035355961,0.25,16.201362673787088,10.478685203940675
1026,2022-09-22 13:45:00+00:00,1,18893.2,18951.492857142857,19009.785714285714,116.58571428571408,2022-09-22 15:45:00+00:00,EXTENSION050_FIRST,2022-09-22 16:30:00+00:00,19009.785714285714,2.8932728832250922,0.75,0.6500428869011118,4.245925744394075
1028,2022-09-23 13:45:00+00:00,-1,18627.3,18570.55,18513.8,113.50000000000026,2022-09-23 16:15:00+00:00,SECOND_FAIL_FIRST,2022-09-23 16:45:00+00:00,18757.7,-3.1048458149779474,0.5,5.641409691629937,1.2845814977973475
