parent_id,parent_time,parent_i,signal_time,signal_i,event_time,event_i,impulse_dir,split,child_rule,event_open,event_high,event_low,event_close,child_range,parent_exit_i,router_conf,p_rev,p_cont,source_row,entry,filled,fill_time,fill_i,outcome,gross_R,cost_R,signal_net_R,stop_frac,exit_time,episode_7d,prior_virtual_fills,vf1_mature,real_fill,real_R
33,2021-09-21 23:45:00+00:00,25286,2021-09-22 00:00:00+00:00,25287,2021-09-21 23:45:00+00:00,25287,-1.0,DEV_2021_2024,BREAK_CONFIRM_12H,40734.09,41487.66,40579.77,41339.09,907.8900000000067,25382,0.37840712804053533,0.37840712804053533,0.28330130355845357,33,40885.14499999999,True,2021-09-22 00:30:00+00:00,25289.0,TP,1.5,0.02251657414444464,1.4774834258555554,0.022205864746230125,2021-09-22 01:45:00+00:00,12,3,True,True,1.4774834258555554
34,2021-10-01 23:45:00+00:00,26238,2021-10-02 00:00:00+00:00,26239,2021-10-01 23:45:00+00:00,26239,1.0,DEV_2021_2024,BREAK_CONFIRM_12H,48141.6,48224.01,47635.0,47715.6,589.010000000002,26334,0.3277543741075071,0.3277543741075071,0.12074759054282352,34,48010.104999999996,False,,,NO_FILL,0.0,0.0,0.0,0.012268458900475267,,13,0,False,False,0.0
35,2021-10-05 03:45:00+00:00,26542,2021-10-05 06:45:00+00:00,26554,2021-10-05 03:45:00+00:00,26554,1.0,DEV_2021_2024,BREAK_CONFIRM_12H,49399.99,49400.0,49282.12,49295.92,117.87999999999738,26638,0.3937136665496059,0.3937136665496059,0.13866968466784202,35,49354.86,True,2021-10-05 07:00:00+00:00,26555.0,SL,-1.0,0.20934365456396803,-1.209343654563968,0.0023884172703558955,2021-10-05 07:15:00+00:00,13,0,False,False,0.0
36,2021-10-15 07:45:00+00:00,27518,2021-10-15 08:15:00+00:00,27520,2021-10-15 07:45:00+00:00,27520,1.0,DEV_2021_2024,BREAK_CONFIRM_12H,59284.13,59418.0,58964.43,59015.66,453.5699999999997,27614,0.3170809003385535,0.3170809003385535,0.1828317199702028,36,59242.44500000001,False,,,NO_FILL,0.0,0.0,0.0,0.0076561661153586695,,14,0,False,False,0.0
37,2021-11-26 15:45:00+00:00,31582,2021-11-26 16:30:00+00:00,31585,2021-11-26 15:45:00+00:00,31585,-1.0,DEV_2021_2024,BREAK_CONFIRM_12H,54344.93,54505.48,54257.88,54377.0,247.60000000000582,31678,0.36670741413930763,0.36670741413930763,0.15299162103533817,37,54253.2,True,2021-11-26 17:00:00+00:00,31587.0,TP,1.5,0.10955815831986818,1.3904418416801319,0.0045637860992532395,2021-11-26 17:30:00+00:00,15,0,False,False,0.0
38,2021-11-28 19:45:00+00:00,31790,2021-11-28 20:30:00+00:00,31793,2021-11-28 19:45:00+00:00,31793,-1.0,DEV_2021_2024,BREAK_CONFIRM_12H,54779.35,55149.99,54779.34,54881.91,370.65000000000146,31886,0.32233605686306865,0.32233605686306865,0.14932691246435592,38,54696.58500000001,False,,,NO_FILL,0.0,0.0,0.0,0.006776474253374345,,15,1,True,False,0.0
39,2021-12-24 03:45:00+00:00,34222,2021-12-24 04:45:00+00:00,34226,2021-12-24 03:45:00+00:00,34226,1.0,DEV_2021_2024,BREAK_CONFIRM_12H,51067.97,51109.09,50926.55,50951.47,182.5399999999936,34318,0.31522409635230825,0.31522409635230825,0.1524811609993437,39,51042.74,False,,,NO_FILL,0.0,0.0,0.0,0.0035762186747810482,,16,0,False,False,0.0
40,2022-01-07 07:45:00+00:00,35582,2022-01-07 08:00:00+00:00,35583,2022-01-07 07:45:00+00:00,35583,-1.0,DEV_2021_2024,BREAK_CONFIRM_12H,41706.71,41800.0,41607.5,41754.17,192.5,35678,0.3891158491495485,0.3891158491495485,0.21746934421515082,40,41657.92,True,2022-01-07 08:15:00+00:00,35584.0,TP,1.5,0.10820238961038961,1.3917976103896104,0.004620970034029543,2022-01-07 08:15:00+00:00,17,0,False,False,0.0
41,2022-02-01 11:45:00+00:00,37998,2022-02-01 14:30:00+00:00,38009,2022-02-01 11:45:00+00:00,38009,1.0,DEV_2021_2024,BREAK_CONFIRM_12H,38903.72,39034.47,38511.96,38570.58,522.510000000002,38094,0.37398880594932293,0.37398880594932293,0.12108357713726643,41,38831.83500000001,False,,,NO_FILL,0.0,0.0,0.0,0.013455712304092813,,18,0,False,False,0.0
42,2022-02-01 19:45:00+00:00,38030,2022-02-01 20:45:00+00:00,38034,2022-02-01 19:45:00+00:00,38034,1.0,DEV_2021_2024,BREAK_CONFIRM_12H,38664.45,38735.63,38494.29,38512.08,241.3399999999965,38126,0.35193004221830293,0.35193004221830293,0.12780906581551854,42,38632.75,True,2022-02-01 21:00:00+00:00,38035.0,SL,-1.0,0.08003801690561149,-1.0800380169056114,0.006247031339989944,2022-02-01 23:30:00+00:00,18,0,False,False,0.0
43,2022-02-05 03:45:00+00:00,38350,2022-02-05 06:30:00+00:00,38361,2022-02-05 03:45:00+00:00,38361,1.0,DEV_2021_2024,BREAK_CONFIRM_12H,41654.58,41748.18,41494.14,41506.33,254.04000000000087,38446,0.3423026384782503,0.3423026384782503,0.15161678747012458,43,41633.350000000006,False,,,NO_FILL,0.0,0.0,0.0,0.0061018390304887985,,18,1,True,False,0.0
44,2022-02-06 15:45:00+00:00,38494,2022-02-06 18:15:00+00:00,38504,2022-02-06 15:45:00+00:00,38504,1.0,DEV_2021_2024,BREAK_CONFIRM_12H,41607.7,41647.86,41495.24,41528.32,152.62000000000262,38590,0.32584775624973694,0.32584775624973694,0.20501055192843357,44,41604.630000000005,True,2022-02-06 19:15:00+00:00,38508.0,SL,-1.0,0.1363013694142291,-1.136301369414229,0.0036683417206210605,2022-02-06 22:45:00+00:00,18,1,True,True,-1.136301369414229
45,2022-02-07 07:45:00+00:00,38558,2022-02-07 08:15:00+00:00,38560,2022-02-07 07:45:00+00:00,38560,1.0,DEV_2021_2024,BREAK_CONFIRM_12H,42682.57,42694.99,42522.08,42579.07,172.90999999999622,38654,0.32598301041127614,0.32598301041127614,0.2289898831918174,45,42665.524999999994,True,2022-02-07 08:45:00+00:00,38562.0,TP,1.5,0.12337494939564204,1.376625050604358,0.004052686566027167,2022-02-07 09:30:00+00:00,18,2,True,True,1.376625050604358
46,2022-02-14 03:45:00+00:00,39214,2022-02-14 04:15:00+00:00,39216,2022-02-14 03:45:00+00:00,39216,-1.0,DEV_2021_2024,BREAK_CONFIRM_12H,41915.2,41985.18,41863.7,41947.52,121.4800000000032,39310,0.41107100207711195,0.41107100207711195,0.20815627301211337,46,41886.78,True,2022-02-14 04:45:00+00:00,39218.0,SL,-1.0,0.17240195917022924,-1.1724019591702293,0.002900199060419617,2022-02-14 06:00:00+00:00,18,3,True,True,-1.1724019591702293
