available_time,close,atr14,bias,D1_HTF_BIAS,D2_TREND_PRESSURE,D14_CONCORDANCE,resolution,target_dir,touch_time,time_to_touch_min,close_ret_atr_24h
2023-04-12 08:00:00,2020.34,9.535972156263329,BULL,1,1,1,BEAR_FIRST,-1.0,2023-04-12 11:08:00,188.0,-0.2013428697711506
2023-04-21 04:00:00,2004.49,10.434084128826218,NEUTRAL,0,0,0,BEAR_FIRST,-1.0,2023-04-21 08:52:00,292.0,
2023-04-21 08:00:00,2000.56,10.035220976767212,NEUTRAL,0,0,0,BEAR_FIRST,-1.0,2023-04-21 09:28:00,88.0,
2023-04-24 08:00:00,1979.5,10.528262174143116,NEUTRAL,0,-1,0,NO_BREAKOUT,0.0,,,1.0989467975460638
2023-04-24 12:00:00,1985.03,10.399100590275753,NEUTRAL,0,-1,0,BEAR_FIRST,-1.0,2023-04-24 16:51:00,291.0,0.3307978387300931
2023-04-24 16:00:00,1983.85,10.081307690970345,NEUTRAL,0,-1,0,NO_BREAKOUT,0.0,,,0.9086122833255588
2023-04-24 20:00:00,1986.6,10.33192857018676,NEUTRAL,0,-1,0,BULL_FIRST,1.0,2023-04-25 03:35:00,455.0,0.3832779110984945
2023-04-25 00:00:00,1989.35,9.900362243744846,NEUTRAL,0,-1,0,BULL_FIRST,1.0,2023-04-25 03:45:00,225.0,0.7070448361041207
2023-04-25 04:00:00,1996.85,10.0181935120488,NEUTRAL,0,0,0,NO_BREAKOUT,0.0,,,0.09183292365969935
2023-04-25 08:00:00,1991.07,9.993322546902446,NEUTRAL,0,-1,0,BEAR_FIRST,-1.0,2023-04-25 14:01:00,361.0,0.44629801340520814
2023-04-25 12:00:00,1988.47,10.023085222123706,NEUTRAL,0,-1,0,BEAR_FIRST,-1.0,2023-04-25 14:41:00,161.0,0.9238672319737065
2023-04-26 08:00:00,1995.53,10.297366092584172,NEUTRAL,0,0,0,NO_BREAKOUT,0.0,,,0.40010231383025296
2023-04-26 12:00:00,1997.73,9.913268514542434,NEUTRAL,0,0,0,BULL_FIRST,1.0,2023-04-26 16:26:00,266.0,0.0423674592677427
2023-04-26 16:00:00,1997.95,9.9416064777894,NEUTRAL,0,0,0,BULL_FIRST,1.0,2023-04-26 16:27:00,27.0,-1.2171071171477987
2023-04-27 04:00:00,1991.44,10.209635361407905,NEUTRAL,0,-1,0,BULL_FIRST,1.0,2023-04-27 08:13:00,253.0,-0.5514398703484875
2023-04-27 12:00:00,1998.15,9.980399877948651,NEUTRAL,0,0,0,BEAR_FIRST,-1.0,2023-04-27 15:35:00,215.0,-1.478898659422625
2023-04-28 08:00:00,1987.34,9.94797716703457,NEUTRAL,0,-1,0,BEAR_FIRST,-1.0,2023-04-28 15:31:00,451.0,
2023-04-28 12:00:00,1983.39,9.93597879796067,NEUTRAL,0,-1,0,BULL_FIRST,1.0,2023-04-28 17:59:00,359.0,
2023-04-28 16:00:00,1984.19,10.039123169534902,NEUTRAL,0,-1,0,BULL_FIRST,1.0,2023-04-28 18:01:00,121.0,
2023-04-29 00:00:00,1989.27,9.89261130434387,NEUTRAL,0,-1,0,NO_BREAKOUT,0.0,,,
2023-05-01 04:00:00,1983.92,9.767424782605012,NEUTRAL,0,-1,0,NO_BREAKOUT,0.0,,,-0.18633365912798586
2023-05-01 08:00:00,1984.16,9.481894440990366,NEUTRAL,0,-1,0,BULL_FIRST,1.0,2023-05-01 15:22:00,442.0,-0.20881903002847718
2023-05-01 12:00:00,1977.28,9.309616266633924,NEUTRAL,0,-1,0,BULL_FIRST,1.0,2023-05-01 13:04:00,64.0,0.43395988452064366
2023-05-24 04:00:00,1975.01,8.799981001083275,BEAR,-1,0,0,NO_BREAKOUT,0.0,,,-1.7806856626248513
2023-05-24 08:00:00,1977.56,8.594268072434476,BEAR,-1,0,0,NO_BREAKOUT,0.0,,,-2.294552582464884
2023-05-24 12:00:00,1976.2,8.686106067260576,BEAR,-1,0,0,BULL_FIRST,1.0,2023-05-24 15:21:00,201.0,-1.635945945164078
2023-05-31 04:00:00,1959.64,8.499551285128613,BEAR,-1,0,0,NO_BREAKOUT,0.0,,,0.7318033377694574
2023-05-31 08:00:00,1960.08,8.38101190761942,BEAR,-1,0,0,NO_BREAKOUT,0.0,,,0.46175808394709345
