signal_ts,confirm_ts,exit_ts,side,z,atr,entry,exit,R,spread_atr_entry,kind,mfe_atr,confirm_lag_s
1780699800,1780699884,1780704714,BUY,-2.081574648094254,546.466796875,60399.328125,61632.6572265625,1.8055319863755446,0.0018299373460904747,trail,2.756914982969431,84
1780721400,1780722406,1780723326,SELL,1.2727200918482264,372.2759486607143,60884.01953125,60828.17813895089,0.12000000000000492,0.007124671254057562,be,0.6474531886014254,1006
1780732200,1780732267,1780732665,BUY,-1.61942267915017,340.33872767857144,59893.94140625,59944.992215401784,0.11999999999999608,0.007701426657725119,be,1.045155905930115,67
1780768200,1780768674,1780771262,SELL,1.1191471232713368,246.52873883928572,60845.48828125,60808.5089704241,0.12000000000001146,0.004832727639014486,be,1.9616279161889585,474
1780779000,1780779432,1780799911,SELL,1.4051453444964472,249.72795758928572,60482.5703125,60794.730259486605,-0.9999999999999932,0.005412139325717159,stop,0.4521795480573168,432
1780802400,1780802459,1780805032,SELL,1.6373736417637554,168.21065848214286,60779.1796875,60989.44301060268,-0.999999999999995,0.005944926492908054,stop,0.4222755599493752,59
1780814400,1780817165,1780818140,SELL,1.369180361579298,237.91796875,61456.328125,61753.7255859375,-1.0,0.004203129361157174,stop,0.03554599635509876,2765
1780827000,1780829681,1780830252,BUY,-1.068799592741769,231.66183035714286,62284.78125,62319.53052455357,0.11999999999999857,0.008026246693870472,be,0.5232067408909808,2681
1780842900,1780844981,1780845063,SELL,1.0595947398912413,228.93638392857142,62340.328125,62305.987667410714,0.11999999999999927,0.004368025662150765,be,0.6607491944015171,2081
1780856700,1780857022,1780857937,BUY,-1.0201066909503305,298.72181919642856,61973.0390625,62017.84733537946,0.11999999999999278,0.0033475961102876002,be,0.5261741104912205,322
1780870500,1780870530,1780870927,SELL,3.9276613274573986,206.69614955357142,61499.48828125,61468.483858816966,0.11999999999999357,0.00483801948976713,be,1.2417268381841768,30
1780902300,1780910332,1780915335,BUY,-1.029625244787121,318.25948660714283,63079.28125,63127.02017299107,0.1199999999999953,0.008112974973742857,be,0.5153641545726004,8032
1780915500,1780915658,1780922056,BUY,-2.096677519058376,264.03822544642856,63191.87890625,63231.48464006696,0.11999999999999623,0.004660191712467229,be,1.315224455333489,158
1780926300,1780927850,1780930902,BUY,-1.7577694117019413,230.94029017857142,63273.51953125,63308.16057477678,0.1199999999999892,0.005547970858654811,be,2.4214863052592155,1550
