Index,flow_id,signal_time,side,signal_i,signal_close,atr0,horizon_time,horizon_close,cost_atr,immediate_net_atr,immediate_gross_atr,filled,depth_atr,limit_price,fill_i,fill_time,delay_bars,delay_hours,stopped,postfill_mae_atr,postfill_mfe_atr,limit_net_atr,limit_bounded_net_atr
1980,1980,2024-05-24 06:00:00+00:00,-1,165073,67607.1,193.71428571428467,2024-05-24 18:00:00+00:00,69157.1,0.17450210176991246,-8.175977028023642,-8.00147492625373,True,1.5,67897.67142857143,165106.0,2024-05-24 14:15:00+00:00,33.0,8.25,True,2.5311946902655134,3.5447640117994164,-6.676727028023677,-1.6752521017699125
1981,1981,2024-05-24 18:00:00+00:00,1,165121,69157.1,280.2071428571414,2024-05-25 06:00:00+00:00,68738.1,0.12340352800224391,-1.6187258660684782,-1.4953223380662344,True,1.5,68736.78928571429,165125.0,2024-05-24 19:00:00+00:00,4.0,1.0,False,0.760470570241422,1.9154069693339169,-0.11797586606845406,-0.11797586606845406
1982,1982,2024-05-25 13:45:00+00:00,1,165200,69038.3,186.51428571428445,2024-05-26 01:45:00+00:00,69180.6,0.1850750995710797,0.5778691406250195,0.7629442401960992,False,1.5,68758.52857142857,,,,,,,,,
1983,1983,2024-05-27 00:00:00+00:00,-1,165337,68614.0,150.57142857142753,2024-05-27 12:00:00+00:00,68451.5,0.22784535104364484,0.8513766603415618,1.0792220113852067,True,1.5,68839.85714285714,165340.0,2024-05-27 00:45:00+00:00,3.0,0.75,True,2.949715370018982,0.6625237191650651,2.350626660341586,-1.728595351043645
1984,1984,2024-05-27 14:00:00+00:00,1,165393,69004.3,176.75714285714432,2024-05-28 02:00:00+00:00,68739.7,0.19519522347045826,-1.692164430615068,-1.4969692071446097,True,1.5,68739.16428571429,165440.0,2024-05-28 01:45:00+00:00,47.0,11.75,True,1.7541824941404267,3.408268002909559,-0.19141443061507085,-1.6944452234704583
1985,1985,2024-05-28 02:00:00+00:00,-1,165441,68739.7,199.82857142857287,2024-05-28 14:00:00+00:00,68062.6,0.17199667572204622,3.216407670860671,3.388404346582717,False,1.5,69039.44285714286,,,,,,,,,
1986,1986,2024-05-28 14:00:00+00:00,-1,165489,68062.6,293.278571428571,2024-05-29 02:00:00+00:00,68546.7,0.11603745829172671,-1.7666865242699257,-1.650649065978199,True,1.5,68502.51785714287,165512.0,2024-05-28 19:45:00+00:00,23.0,5.75,False,0.8966974353978009,1.1603911444507227,-0.26743652426990094,-0.26743652426990094
1987,1987,2024-05-29 08:00:00+00:00,-1,165561,67810.4,196.44999999999814,2024-05-29 20:00:00+00:00,67333.7,0.17258946296767788,2.253982183761778,2.426571646729456,True,1.5,68105.075,165581.0,2024-05-29 13:00:00+00:00,20.0,5.0,False,1.148002036141567,4.9685670654110785,3.753232183761807,3.753232183761807
1988,1988,2024-05-30 02:45:00+00:00,1,165636,67980.0,160.278571428571,2024-05-30 14:45:00+00:00,68394.7,0.2120682739872549,2.3753019296759983,2.5873702036632533,True,1.5,67739.58214285714,165656.0,2024-05-30 07:45:00+00:00,20.0,5.0,True,3.191831186772996,2.202526850572747,3.8760519296760436,-1.7113182739872548
1989,1989,2024-05-30 14:45:00+00:00,1,165684,68394.7,272.8714285714263,2024-05-31 02:45:00+00:00,68580.9,0.12532404062614627,0.5570486100204117,0.682372650646558,False,1.5,67985.39285714286,,,,,,,,,
1990,1990,2024-05-31 09:15:00+00:00,-1,165758,67978.3,147.18571428571678,2024-05-31 21:15:00+00:00,67678.2,0.23092696302047558,1.8079937396874786,2.038920702707954,True,1.5,68199.07857142857,165761.0,2024-05-31 10:00:00+00:00,3.0,0.75,True,1.889595263515412,1.5767737552169172,3.30724373968745,-1.7316769630204756
1991,1991,2024-05-31 21:15:00+00:00,1,165806,67678.2,186.9071428571437,2024-06-01 09:15:00+00:00,67709.1,0.18104765544387888,-0.015724920701600337,0.16532273474227854,True,1.5,67397.83928571428,165813.0,2024-05-31 23:00:00+00:00,7.0,1.75,False,0.739079756945728,2.459299881530216,1.485025079298433,1.485025079298433
1992,1992,2024-06-02 11:45:00+00:00,1,165960,68284.1,147.43571428571158,2024-06-02 23:45:00+00:00,67805.9,0.23157245288503892,-3.475019960273385,-3.243447507388346,True,1.5,68062.94642857143,165962.0,2024-06-02 12:15:00+00:00,2.0,0.5,True,1.6200038757812447,0.929581900101714,-1.9742699602733607,-1.7308224528850389
1993,1993,2024-06-03 00:45:00+00:00,1,166012,67863.6,124.35714285714286,2024-06-03 12:45:00+00:00,69792.7,0.2728576680068926,15.239721309592118,15.512578977599011,False,1.5,67677.0642857143,,,,,,,,,
1994,1994,2024-06-03 12:45:00+00:00,1,166060,69792.7,206.8285714285708,2024-06-04 00:45:00+00:00,69041.1,0.16872112860892438,-3.802648466639008,-3.6339273380300834,True,1.5,69482.45714285714,166067.0,2024-06-03 14:30:00+00:00,7.0,1.75,True,2.0241746097526883,1.9100013814063095,-2.3018984666389852,-1.6679711286089245
1995,1995,2024-06-04 01:30:00+00:00,-1,166111,69116.8,156.54285714285757,2024-06-04 13:30:00+00:00,69594.9,0.22075999269939708,-3.274875707245783,-3.054115714546386,True,1.5,69351.61428571428,166117.0,2024-06-04 03:00:00+00:00,6.0,1.5,True,1.6767658331812807,4.830078481474698,-1.7756257072458164,-1.721509992699397
1996,1996,2024-06-04 13:30:00+00:00,1,166159,69594.9,184.0,2024-06-05 01:30:00+00:00,71054.8,0.1891165760869565,7.745122554347874,7.93423913043483,False,1.5,69318.9,,,,,,,,,
1997,1997,2024-06-05 16:45:00+00:00,1,166268,71355.8,334.3142857142853,2024-06-06 04:45:00+00:00,71093.7,0.1067196393470645,-0.8907124604734824,-0.7839928211264179,True,1.5,70854.32857142857,166294.0,2024-06-05 23:15:00+00:00,26.0,6.5,False,0.4278266814802147,1.3896248183915674,0.6100375395265208,0.6100375395265208
1998,1998,2024-06-06 18:00:00+00:00,-1,166369,70948.4,232.59285714285838,2024-06-07 06:00:00+00:00,71244.2,0.1525162914964829,-1.4242664373675693,-1.2717501458710865,True,1.5,71297.28928571429,166412.0,2024-06-07 04:45:00+00:00,43.0,10.75,False,0.7683413690384698,0.649586954518947,0.07498356263245307,0.07498356263245307
1999,1999,2024-06-07 06:00:00+00:00,1,166417,71244.2,145.99285714285776,2024-06-07 18:00:00+00:00,68543.0,0.24399892362639947,-18.746273986007044,-18.502275062380644,True,1.5,71025.21071428571,166443.0,2024-06-07 12:30:00+00:00,26.0,6.5,True,2.4467684328978723,7.663315230686409,-17.24552398600706,-1.7432489236263995
2000,2000,2024-06-07 18:00:00+00:00,-1,166465,68543.0,357.05714285714413,2024-06-08 06:00:00+00:00,69372.0,0.09598323597663407,-2.417740457709842,-2.3217572217332076,True,1.5,69078.58571428571,166466.0,2024-06-07 18:15:00+00:00,1.0,0.25,True,1.6378730895414713,1.5742178122749368,-0.9184904577098506,-1.596733235976634
2001,2001,2024-06-10 15:30:00+00:00,1,166743,70035.9,185.04285714285757,2024-06-11 03:30:00+00:00,68357.7,0.189242376283486,-9.258492742993864,-9.069250366710378,True,1.5,69758.33571428571,166746.0,2024-06-10 16:15:00+00:00,3.0,0.75,True,1.828418127074798,2.2036207828302654,-7.7577427429938925,-1.688492376283486
2002,2002,2024-06-11 03:30:00+00:00,-1,166791,68357.7,281.4142857142828,2024-06-11 15:30:00+00:00,66113.2,0.12145385552566244,7.854331717346139,7.975785572871802,False,1.5,68779.82142857142,,,,,,,,,
2003,2003,2024-06-11 15:45:00+00:00,-1,166840,66266.0,348.6999999999971,2024-06-12 03:45:00+00:00,67413.0,0.09501864066532917,-3.3843791224548605,-3.289360481789531,True,1.5,66789.04999999999,166848.0,2024-06-11 17:45:00+00:00,8.0,2.0,True,2.3006882707198772,0.8312302839116539,-1.8851291224548812,-1.595768640665329
2004,2004,2024-06-12 11:00:00+00:00,1,166917,67893.7,157.17857142857142,2024-06-12 23:00:00+00:00,68214.9,0.21597632356282664,1.827559236537132,2.0435355600999587,True,1.5,67657.93214285714,166952.0,2024-06-12 19:45:00+00:00,35.0,8.75,True,2.816746194046821,3.140172688025454,3.328309236537119,-1.7152263235628267
2005,2005,2024-06-13 00:45:00+00:00,-1,166972,68331.0,162.71428571428572,2024-06-13 12:45:00+00:00,67738.5,0.20997234416154523,3.4313797190517996,3.6413520632133447,True,1.5,68575.07142857143,167019.0,2024-06-13 12:30:00+00:00,47.0,11.75,False,0.200526777875273,6.991834942932471,4.930629719051838,4.930629719051838
2006,2006,2024-06-13 14:30:00+00:00,-1,167027,67530.4,357.692857142858,2024-06-14 02:30:00+00:00,66839.5,0.09439718832997163,1.8371482317231258,1.9315454200530975,False,1.5,68066.93928571428,,,,,,,,,
2007,2007,2024-06-14 04:15:00+00:00,-1,167082,66830.8,151.57857142857185,2024-06-14 16:15:00+00:00,65313.6,0.220449366193864,9.788881014089819,10.009330380283682,True,1.5,67058.16785714286,167087.0,2024-06-14 05:30:00+00:00,5.0,1.25,True,1.5155977569387948,1.994792893831601,11.28813101408984,-1.721199366193864
2008,2008,2024-06-14 16:15:00+00:00,1,167130,65313.6,358.942857142858,2024-06-15 04:15:00+00:00,66213.1,0.0909804982886251,2.414989413356697,2.5059699116453222,False,1.5,64775.18571428571,,,,,,,,,
