source_index,parent_time,signal_time,fill_time,real_fill,real_R,episode_7d,ret_24h,ret_72h,ret_7d,range_pos_7d,range_pos_30d,rv_ratio_24h_7d,range_ratio_24h_7d,parent_range_pct,parent_body_frac,parent_reclaim_frac,router_conf,child_latency_h,child_parent_range_ratio,prior_virtual_fills,episode_age_h
81,2023-03-08 07:45:00+00:00,2023-03-08 08:30:00+00:00,2023-03-08 08:45:00+00:00,False,0.0,35,-0.017822197434467335,-0.015363296540205407,-0.07344524805780961,0.08006500391227267,0.1697876083951242,1.0757466317494124,0.3008282905915635,0.014910543565777232,0.5539987789987864,0.3995726495726447,0.4346363418702442,0.75,0.10112942612942968,0.0,0.0
82,2023-03-09 11:45:00+00:00,2023-03-09 13:45:00+00:00,,False,0.0,35,-0.012979122440329727,-0.03279935578662352,-0.06886582192677071,0.08662497794679708,0.09045815133895675,0.858266101755143,0.3440495559955309,0.007983615590293768,0.11075144508670436,0.8230057803468267,0.4083582900970384,2.0,0.5084393063583764,1.0,29.25
83,2023-03-10 03:45:00+00:00,2023-03-10 05:15:00+00:00,,False,0.0,35,-0.08217062108429851,-0.11180701524786785,-0.10690558239401227,0.06127788154005558,0.03230674232431705,1.8047011990580304,0.7133966533489039,0.02950119364235202,0.5242747988369745,0.4663094191628907,0.4695738530314031,1.5,0.183362634390428,1.0,44.75
86,2023-04-18 03:45:00+00:00,2023-04-18 04:15:00+00:00,,False,0.0,37,-0.01618930513357053,-0.0290154815374154,-0.02155004629918711,0.19067685291243328,0.6570863740187808,0.9240118377705246,0.47854688370235804,0.013693080345393575,0.0414661971132412,0.8685333068796234,0.4251832779600089,0.5,0.12310897276920607,1.0,91.75
87,2023-04-21 07:45:00+00:00,2023-04-21 10:15:00+00:00,2023-04-21 10:30:00+00:00,True,-1.194102184734514,37,-0.02452676130919973,-0.06068235699022473,-0.08762779526792386,0.09729706569636536,0.3568588513444317,1.2199147342305825,0.38324253240653733,0.01889928726767475,0.3126985021893955,0.6373494202326568,0.3970659703490476,2.5,0.13591174757099025,1.0,169.75
88,2023-04-21 23:45:00+00:00,2023-04-22 01:30:00+00:00,2023-04-22 02:15:00+00:00,True,1.305908022228556,37,-0.03340851468694028,-0.09969311890602739,-0.10222893921661291,0.04462494781006662,0.1713544055246603,1.2391295962809938,0.3570813345440423,0.010439851460816224,0.059939568547541885,0.48429484927271677,0.3721540945374665,1.75,0.24657437987492284,2.0,185.0
89,2023-05-08 11:45:00+00:00,2023-05-08 13:15:00+00:00,2023-05-08 13:45:00+00:00,False,0.0,38,-0.03384388881451428,-0.03717789300337182,-0.02343527641276344,0.15709833748701615,0.2431639710340683,1.0564568519638196,0.6771630725058968,0.014752583671062927,0.10041252123271245,0.8664887163309872,0.4016200432150402,1.5,0.30504731861198364,0.0,0.0
90,2023-05-10 19:45:00+00:00,2023-05-10 20:15:00+00:00,2023-05-10 21:15:00+00:00,True,-1.0507475834797892,38,0.007741949020562577,-0.037068326622715864,-0.019575118668811786,0.3548866250410773,0.2557234193701156,1.5109184377593836,0.5108182714426547,0.05496662244251648,0.3028282363761786,0.6012942219886329,0.3366662244260489,0.5,0.17943041093190468,1.0,55.0
91,2023-05-11 19:45:00+00:00,2023-05-11 20:00:00+00:00,,False,0.0,38,-0.029052178146465213,-0.01856740703072879,-0.06645740918604726,0.06480219374909772,0.0470107842110772,1.0112677141715976,0.41058387722702416,0.01927761562117573,0.6500473457398501,0.2724795640326969,0.3449137885309996,0.25,0.19164396003632678,2.0,78.75
92,2023-05-25 03:45:00+00:00,2023-05-25 04:15:00+00:00,,False,0.0,39,-0.0206717728287259,-0.017967628217618437,-0.04052658419888622,0.2069288274197325,0.09384927116325116,1.3365309035287984,0.5955454019237162,0.019954383869060604,0.2780584902771378,0.5968266727913069,0.4250985744886508,0.5,0.11521972132904758,0.0,0.0
93,2023-06-30 15:45:00+00:00,2023-06-30 16:30:00+00:00,,False,0.0,40,-0.00458976516444265,-0.011139168979325098,-0.01698563401190878,0.49255293544757933,0.8413827628114852,1.6621695320153371,0.9974196942813481,0.05445574190527252,0.5144195534274667,0.34672888063712376,0.3156881446035925,0.75,0.20230126545170365,0.0,0.0
94,2023-07-18 19:45:00+00:00,2023-07-18 22:45:00+00:00,2023-07-18 23:00:00+00:00,False,0.0,41,-0.009534742054437051,-0.015378356978374308,-0.025009015984203797,0.1342291248582149,0.6423224922724775,0.8314170290041067,0.31750283570369014,0.015243981438949252,0.4327247842115634,0.45031899158922023,0.3342019058007003,3.0,0.05989094682001211,0.0,0.0
95,2023-07-24 15:45:00+00:00,2023-07-24 16:30:00+00:00,2023-07-24 17:30:00+00:00,True,-1.2034163168206016,41,-0.028179077130382812,-0.02424504504504499,-0.033085957651488807,0.15820026228496523,0.08363865003568643,1.5797693526694838,0.956632981048626,0.014027053205186763,0.4317814261210571,0.5681940700808581,0.3607704857407801,0.75,0.17510414114187547,1.0,137.75
97,2023-08-31 23:45:00+00:00,2023-09-01 00:15:00+00:00,2023-09-01 01:00:00+00:00,False,0.0,43,-0.04468544822531406,-0.0024600552410596332,-0.004510329239118649,0.150214644028556,0.16989365892083522,1.1735207890210493,0.7767782494051064,0.02081086227939184,0.41124386403630847,0.5293507455774739,0.4026125812996839,0.5,0.08670927109382444,0.0,0.0
98,2023-09-01 19:45:00+00:00,2023-09-01 20:30:00+00:00,,False,0.0,43,-0.013080761665184681,-0.06999279328411978,-0.00938796680497922,0.16015805774091407,0.1216325324931078,0.9868259732968726,0.29270940870741535,0.024581937060695582,0.26226959804574823,0.4947653944989066,0.3659534065401071,0.75,0.3200723327305596,1.0,20.25
99,2023-09-11 23:45:00+00:00,2023-09-12 00:00:00+00:00,2023-09-12 00:15:00+00:00,False,0.0,44,-0.02638242908038524,-0.027406383561961234,-0.02410125370062899,0.18779540304305553,0.06049867343022562,1.3884182135194554,0.6472580123017149,0.012558360609350732,0.44892405063291324,0.8275949367088622,0.3606895471426328,0.25,0.12107594936708355,0.0,0.0
100,2023-09-24 19:45:00+00:00,2023-09-24 20:45:00+00:00,2023-09-24 21:00:00+00:00,False,0.0,45,-0.003225169485947421,-0.0034691696629272073,0.0024833231516454557,0.1447950791106145,0.4938538180359982,0.5767434872125276,0.3508834599567855,0.015226564765548393,0.3200407220718675,0.2814789064633801,0.3203319423278289,1.0,0.11575993842027918,0.0,0.0
101,2023-09-25 03:45:00+00:00,2023-09-25 04:15:00+00:00,2023-09-25 04:30:00+00:00,True,-1.4949768255769902,45,-0.014683935183216201,-0.017400084455496678,-0.015875945818024872,0.11977190156177243,0.3938152598053578,0.9418027348639421,0.49781270853414467,0.0131167220046296,0.2650539201398982,0.45890410958904515,0.3873872985629117,0.5,0.07703293500437308,1.0,7.5
102,2023-10-11 07:45:00+00:00,2023-10-11 09:45:00+00:00,2023-10-11 10:00:00+00:00,False,0.0,46,-0.013643207406322966,-0.021283555963671374,-0.012470503076366324,0.24099510566795163,0.6481217722207118,1.0816830615669852,0.5344896286773274,0.006624984503338968,0.03301307116523204,0.31873533683387983,0.4101888187997875,2.0,0.5902133839794413,0.0,0.0
103,2023-10-11 19:45:00+00:00,2023-10-11 21:00:00+00:00,2023-10-11 21:15:00+00:00,True,-1.3780056593095626,46,-0.02515551504102098,-0.04324267646168367,-0.035704225174310045,0.11185191933224815,0.47224772938568277,1.1836356667682464,0.5344807952902054,0.00960161714593177,0.06323695373000711,0.8737984978791293,0.335505025421751,1.25,0.13752578121959755,1.0,11.25
104,2023-12-26 19:45:00+00:00,2023-12-26 20:15:00+00:00,,False,0.0,47,-0.02877538730338791,-0.03472361829755988,-0.0032024257476543916,0.1883245310903917,0.6819091705242086,1.004859856783353,0.7546601175081313,0.018917521647928405,0.3545066532764273,0.5919030881245329,0.4059913688300692,0.5,0.14586994727591926,0.0,0.0
105,2023-12-29 23:45:00+00:00,2023-12-30 00:00:00+00:00,,False,0.0,47,-0.013358565737051853,-0.008310875063393897,-0.04238461300501151,0.29907174446990625,0.6388874999999997,1.1942541424313735,0.6770321244453076,0.022345332856315944,0.05272340425532441,0.8159042553191458,0.3778254894729148,0.25,0.09443617021276256,0.0,75.75
106,2024-01-18 23:45:00+00:00,2024-01-19 00:45:00+00:00,2024-01-19 01:00:00+00:00,False,0.0,48,-0.03212059598521266,-0.03073943661971834,-0.1080699788285292,0.10685376017118581,0.07328087663826613,0.9739197141920062,0.39535996846580523,0.016543705764926482,0.4463442102645839,0.9422415936581329,0.3843368293386731,1.0,0.10589284930745718,0.0,0.0
110,2024-02-23 23:45:00+00:00,2024-02-24 00:30:00+00:00,2024-02-24 01:00:00+00:00,False,0.0,51,-0.010590790665853222,-0.025449060790455835,-0.023526230239104717,0.1442775974025974,0.8430591737997767,0.959864743202998,0.41702110389610425,0.012632786242355048,0.553693997254453,0.34810620242106755,0.3796757312455799,0.75,0.1899413453138679,0.0,0.0
114,2024-04-27 03:45:00+00:00,2024-04-27 05:30:00+00:00,2024-04-27 05:45:00+00:00,True,-1.3375793336190398,54,-0.019831988462903127,-0.05490686260478994,-0.01842909071666088,0.13937712632020427,0.2626136726983978,1.1531191718286211,0.5016969248787985,0.02428854121801137,0.44902980739734855,0.4508442274682324,0.4825174589417309,1.75,0.06092013288342429,1.0,101.5
115,2024-04-29 07:45:00+00:00,2024-04-29 09:45:00+00:00,,False,0.0,54,-0.019186525328920512,-0.03007336643247238,-0.05159376990506226,0.11543691917080168,0.22245828528305084,0.7860169192666405,0.3866613174816638,0.011478689576503134,0.16795342538428557,0.665740572689074,0.3981756127218976,2.0,0.46729585212279895,2.0,153.75
116,2024-05-01 11:45:00+00:00,2024-05-01 12:00:00+00:00,2024-05-01 12:15:00+00:00,True,-1.055718939262848,54,-0.047942824250471805,-0.0838029065568825,-0.12572065713599223,0.16414584966071877,0.10262681153844508,1.5965436330043594,0.4929268782564519,0.023423416888218293,0.2938179297733347,0.9922355439543432,0.3827823452509531,0.25,0.3835110383577405,2.0,204.0
121,2024-06-18 03:45:00+00:00,2024-06-18 04:15:00+00:00,2024-06-18 04:30:00+00:00,False,0.0,57,-0.00985578078667515,-0.007792207792207795,-0.032934878678984036,0.20902394106813996,0.1527998039854496,1.2948124643634322,0.5027274401473292,0.03082793893129765,0.4973826656695888,0.46106684231117895,0.3805891534521017,0.5,0.11136918528350168,0.0,0.0
125,2024-08-03 03:45:00+00:00,2024-08-03 05:45:00+00:00,,False,0.0,59,-0.038585314230120904,-0.06772187056482526,-0.091335161935577,0.1241766309938702,0.49463844291270465,1.4080605418350711,0.5241791375239033,0.02374951915301783,0.2705102040816336,0.9462517006802708,0.3958509552338636,2.0,0.095496598639454,1.0,117.25
126,2024-08-27 23:45:00+00:00,2024-08-28 01:45:00+00:00,2024-08-28 02:15:00+00:00,False,0.0,60,-0.057324890308406484,-0.07430154412901757,0.0017214453460923096,0.1937441770660015,0.492582301984014,1.6319242039282786,0.7416016962413094,0.06846755869729866,0.6605211406096362,0.3394764011799405,0.3897028621979364,2.0,0.08836037364798355,0.0,0.0
127,2024-09-02 03:45:00+00:00,2024-09-02 05:15:00+00:00,,False,0.0,60,-0.005893064341765619,-0.01818804042490152,-0.09691131953702581,0.08189749971061498,0.5433756250000001,0.938608029514115,0.2403244009723349,0.011068890743498528,0.6888005757737047,0.9606815408204816,0.3573838410521172,1.5,0.29635134712270184,1.0,123.5
131,2024-11-26 23:45:00+00:00,2024-11-27 00:00:00+00:00,2024-11-27 00:30:00+00:00,False,0.0,64,-0.010237512824732953,-0.05509992359259164,0.0026957186793159504,0.18607556517004284,0.7813935268850103,1.3422063770814647,0.47542489351374456,0.01710321604398877,0.17881619937695362,0.7464301608493877,0.3604776674300868,0.25,0.39200203445864584,0.0,0.0
132,2024-12-05 23:45:00+00:00,2024-12-06 00:30:00+00:00,,False,0.0,65,-0.008180679644633981,0.01579738235171524,0.017939888903763634,0.5136870768324989,0.8026396272624096,2.0866260058111408,1.0,0.0926263514920683,0.23189809927258198,0.7177985505115977,0.3751576514555758,0.75,0.09786830769779031,0.0,0.0
