signal_ts,entry_ts,exit_ts,side,R,entry_overlap,any_lifetime_overlap,same_core_overlap_count,opposite_core_overlap_count,later_core_same_entries,later_core_opposite_entries,branch,align_tf,response_ratio,confirm_min,abs_z
1621953000,1621953120,1622010300,-1,-1.000848891738937,CORE_OPPOSITE,True,0,1,0,0,STRONG_RESPONSE_GE_2.50,H4_ALIGN,399404378.48252034,2.0,1.2325004606318724
1622010600,1622010660,1622037360,1,-1.0013035986602574,CORE_SAME,True,1,0,0,0,STRONG_RESPONSE_GE_2.50,H1_ALIGN,496969395.1448056,1.0,1.7687355798323634
1622038200,1622039520,1622080380,1,-1.0013885736145611,NONE,True,1,0,1,0,MID_RESPONSE_0.50_1.00,H1_ALIGN,0.9639598337436988,22.0,1.67335031815834
1622122500,1622124960,1622148480,1,-1.001116503680444,CORE_SAME,True,1,0,0,0,MID_RESPONSE_0.50_1.00,H1_ALIGN,0.6138124224744331,41.0,1.788606897727618
1622151600,1622151660,1622192100,-1,2.220751129992823,NONE,True,1,0,1,0,STRONG_RESPONSE_GE_2.50,H4_ALIGN,524772546.5091518,1.0,1.436271247366983
1622358000,1622358840,1622445240,-1,0.20693867091282303,NONE,True,0,1,0,1,MID_RESPONSE_0.50_1.00,H4_ALIGN,0.679460793293408,14.0,1.0301270956592192
1622460900,1622463000,1622549400,1,-0.6407205522245448,NONE,True,0,1,0,1,MID_RESPONSE_0.50_1.00,H1_ALIGN,0.6564393133877686,35.0,1.175368669202463
1622549700,1622550120,1622636520,1,0.9136589425826013,CORE_OPPOSITE,True,0,1,0,0,STRONG_RESPONSE_GE_2.50,H1_ALIGN,3.5433803400109287,7.0,1.600073224082565
1622641200,1622643480,1622729880,1,0.6616170549470507,NONE,True,0,1,0,1,MID_RESPONSE_0.50_1.00,H1_ALIGN,0.8006549038745526,38.0,1.4167759148020493
1622783400,1622783460,1622869860,-1,-0.26162157607777936,CORE_SAME,True,1,1,0,1,STRONG_RESPONSE_GE_2.50,H1_ALIGN,12.700421694117386,1.0,1.006192438927281
1622889600,1622889780,1622976180,-1,0.27395054663099094,NONE,False,0,0,0,0,STRONG_RESPONSE_GE_2.50,H1_ALIGN,509769315.54443735,3.0,1.7325351900667518
1623081300,1623082800,1623100500,-1,2.2203376786302997,NONE,False,0,0,0,0,MID_RESPONSE_0.50_1.00,H4_ALIGN,0.9506612396369231,25.0,1.6975257461057194
1623239400,1623239460,1623319260,1,2.220889860607312,CORE_OPPOSITE,True,1,1,1,0,STRONG_RESPONSE_GE_2.50,H1_ALIGN,633720644.4700096,1.0,1.0884446725295298
1623467100,1623467340,1623553740,-1,0.2068392051054702,CORE_SAME,True,1,0,0,0,STRONG_RESPONSE_GE_2.50,H1_ALIGN,4.37152997029301,4.0,1.1706725985679691
1623600600,1623600780,1623614760,1,2.22000731236092,CORE_SAME,True,1,0,0,0,STRONG_RESPONSE_GE_2.50,H1_ALIGN,13.50065411099877,3.0,1.0838162432671534
1623850200,1623850260,1623936660,-1,0.32858636949650283,CORE_SAME,True,2,0,1,0,STRONG_RESPONSE_GE_2.50,H1_ALIGN,426665671.1217199,1.0,1.4932628182675833
1623948600,1623949920,1624036320,-1,1.713923552799361,CORE_SAME,True,2,0,1,0,MID_RESPONSE_0.50_1.00,H1_ALIGN,0.7437493283555532,22.0,1.9176908997616668
1624223400,1624227120,1624257300,-1,2.220890701910695,NONE,True,0,1,0,1,MID_RESPONSE_0.50_1.00,H4_ALIGN,0.6099641099810893,62.0,1.5335243272437962
1624449900,1624449960,1624536360,-1,-0.1713001938958602,NONE,True,1,0,1,0,STRONG_RESPONSE_GE_2.50,H4_ALIGN,373855685.00770855,1.0,1.7389417564577738
1624536600,1624536720,1624557600,-1,-1.0015060290118751,CORE_SAME,True,1,0,0,0,STRONG_RESPONSE_GE_2.50,H4_ALIGN,4.6373306980015485,2.0,1.7365594557143433
1624558500,1624559520,1624619940,1,-1.0011082115875185,NONE,True,1,0,1,0,STRONG_RESPONSE_GE_2.50,H1_ALIGN,3.1358879230214476,17.0,1.0142183968047636
1624752900,1624754400,1624797180,-1,-1.001280624478133,NONE,False,0,0,0,0,MID_RESPONSE_0.50_1.00,H4_ALIGN,0.6655710755675054,25.0,1.4658733856280917
