transition_time,destination,origin,lag,event_count,control_change,d1_conflict,stack_break_change,bos_against_control,rev_rank,winner_margin,rev_vs_pullback,rev_vs_expansion,rev_vs_range,atr_ratio,adx14,range24_ratio,ema_spread_atr,relvol20
2022-12-29 08:00:00+00:00,PULLBACK,EXPANSION,-1,2.0,False,False,False,False,4.0,5.0,-15.0,-20.0,-3.3333333333333357,0.8755021548421198,23.696725491698817,0.6102906145783734,3.1838566708404423,0.5508975893324363
2022-12-29 08:00:00+00:00,PULLBACK,EXPANSION,0,2.0,False,False,False,False,3.0,16.66666666666667,-20.0,-3.3333333333333286,3.3333333333333357,0.8915562412813544,23.510247869123464,0.6102906145783734,3.2086323895027773,0.984382175361405
2023-01-04 08:00:00+00:00,EXPANSION,PULLBACK,-2,0.0,True,False,True,True,4.0,1.6666666666666714,-23.333333333333336,-16.666666666666664,-21.666666666666664,1.0032761254847715,21.086317976720093,0.827152988855118,2.400650385559116,2.241442910562425
2023-01-04 08:00:00+00:00,EXPANSION,PULLBACK,-1,1.0,True,False,False,True,4.0,1.6666666666666643,-21.666666666666668,-23.333333333333332,-18.333333333333332,0.9837668230446288,22.416140656410892,0.8968591691995992,2.362426293582061,1.4054749874852464
2023-01-04 08:00:00+00:00,EXPANSION,PULLBACK,0,2.0,True,False,False,True,4.0,28.333333333333332,-9.999999999999998,-38.33333333333333,-9.999999999999998,0.9789455923579257,23.720054647236978,0.9291516709511554,2.304031893311207,1.0522926044641059
2023-01-05 04:00:00+00:00,PULLBACK,EXPANSION,-2,1.0,True,False,False,True,3.0,23.333333333333332,-15.0,-38.33333333333333,1.6666666666666679,1.0480223056289284,25.843318616170244,1.0367432150313123,1.9472440951201746,0.7445155583002407
2023-01-05 04:00:00+00:00,PULLBACK,EXPANSION,-1,0.0,True,False,False,True,3.0,11.666666666666664,-25.0,-36.666666666666664,0.0,1.0236161295258264,26.714140246622424,1.0367432150313123,1.9394477784159858,0.48544787160942127
2023-01-05 04:00:00+00:00,PULLBACK,EXPANSION,0,1.0,False,False,False,False,4.0,13.333333333333336,-41.66666666666667,-28.333333333333332,-4.999999999999999,0.9932506991352288,27.226512994007052,1.0183716075156561,1.9459777059977659,0.41134555835784625
2023-01-06 20:00:00+00:00,EXPANSION,PULLBACK,-2,3.0,False,False,False,False,4.0,11.666666666666664,-26.666666666666664,-1.6666666666666643,-15.0,1.0131985752669574,26.56755304817963,0.8385337115426574,1.5961939302428065,2.355653924511596
2023-01-06 20:00:00+00:00,EXPANSION,PULLBACK,-1,1.0,True,False,False,True,4.0,5.0,-10.0,-15.0,-8.333333333333336,1.0611107334476793,26.749698173600983,0.8385337115426574,1.4548434786877418,1.282237418829632
2023-01-06 20:00:00+00:00,EXPANSION,PULLBACK,0,1.0,True,False,False,True,4.0,20.0,-8.333333333333332,-28.333333333333332,-5.0,1.0974107358055103,27.495331254839297,0.9442918360619743,1.3376183742475067,1.5182159759790104
2023-01-07 16:00:00+00:00,PULLBACK,EXPANSION,-2,1.0,False,False,False,False,3.0,11.666666666666668,-6.666666666666668,-18.333333333333336,10.0,0.966102260789363,28.871862301231786,0.9595801697186276,1.3174796130831499,0.330235953622566
2023-01-07 16:00:00+00:00,PULLBACK,EXPANSION,-1,0.0,False,False,False,False,3.0,8.333333333333336,-21.666666666666668,-13.333333333333332,1.6666666666666679,0.9336462800941565,29.005258409675424,0.9595801697186276,1.3017083535230074,0.4251933474090003
2023-01-07 16:00:00+00:00,PULLBACK,EXPANSION,0,1.0,False,False,False,False,4.0,25.0,-40.0,-15.0,-10.0,0.8927068904265186,29.1291262246588,0.8798570790531501,1.298930957635209,0.24580645383066546
2023-01-09 04:00:00+00:00,EXPANSION,PULLBACK,-2,0.0,True,False,False,True,4.0,10.0,-31.666666666666668,-28.333333333333332,-41.66666666666667,0.9893688462660114,32.109028588937,1.2015359553176597,0.9764781380124732,2.0262887154795552
2023-01-09 04:00:00+00:00,EXPANSION,PULLBACK,-1,0.0,True,False,False,True,4.0,10.0,-26.666666666666668,-36.66666666666667,-26.666666666666668,1.0360829083496794,34.3202908497993,1.3504770770304824,1.0584681994340581,2.5937178918224015
