cohort,geometry,stop_atr,rr,signals,known_signals,filled,fill_rate_pct,tp,sl,timeout,data_gap,ev_r_per_filled_trade,ev_r_per_signal,wr_filled_pct,pf,max_dd_r_per_signal,ci95_day_ev_r_per_signal
COMMON_CLOCK,LIM_100ATR_10M,1.0,2.0,245,245,157,64.08163265306122,40,116,1,0,-0.228167624784225,-0.14621353914744215,26.11464968152866,0.6911869216282472,41.822317091123324,"[-0.2665856356588722, -0.019977795335987095]"
COMMON_CLOCK,LIM_100ATR_10M,1.0,3.0,245,245,157,64.08163265306122,31,122,4,0,-0.1644893429462768,-0.10540745650026717,22.29299363057325,0.7883210914543815,32.44055743880601,"[-0.26334016246563396, 0.0694696502910631]"
COMMON_CLOCK,LIM_100ATR_10M,1.5,1.5,245,245,157,64.08163265306122,57,93,7,0,-0.04832045722553037,-0.030964537895543952,38.853503184713375,0.9195422372555083,16.2378972520908,"[-0.1592450482019358, 0.10501605233729013]"
COMMON_CLOCK,LIM_100ATR_10M,1.5,2.0,245,245,157,64.08163265306122,47,95,15,0,0.01668367778230755,0.01069117310947873,36.30573248407643,1.0270694371391205,14.2378972520908,"[-0.12207912329970588, 0.1507312724754708]"
COMMON_CLOCK,LIM_100ATR_10M,1.5,3.0,245,245,157,64.08163265306122,28,98,31,0,0.08378815492408499,0.05369281764522999,34.394904458598724,1.1318590584091,12.0,"[-0.09829022413876745, 0.22098840610255507]"
AMP_ALL,MARKET,1.0,1.5,279,279,279,100.0,89,190,0,0,-0.2025089605734767,-0.2025089605734767,31.899641577060933,0.7026315789473684,59.0,"[-0.3633001990132261, -0.0588165487714074]"
AMP_ALL,MARKET,1.0,2.0,279,279,279,100.0,73,206,0,0,-0.21505376344086022,-0.21505376344086022,26.16487455197133,0.7087378640776699,61.0,"[-0.39338235294117646, -0.04498058046748114]"
AMP_ALL,MARKET,1.0,3.0,279,279,279,100.0,56,220,3,0,-0.17201186981684402,-0.17201186981684402,21.14695340501792,0.7818576741868205,59.07278371852356,"[-0.43405146517562654, 0.09008814451287042]"
AMP_ALL,MARKET,1.5,1.5,279,279,279,100.0,88,187,4,0,-0.19544710115805955,-0.19544710115805955,32.25806451612903,0.7096906923606411,55.02974122309861,"[-0.3950524501507499, 0.006145465879628139]"
AMP_ALL,MARKET,1.5,2.0,279,279,279,100.0,83,189,7,0,-0.07143783899889584,-0.07143783899889584,31.54121863799283,0.8950070289957054,39.40129356335319,"[-0.30995856272727074, 0.17434322098784702]"
AMP_ALL,MARKET,1.5,3.0,279,279,279,100.0,54,198,27,0,-0.05124215709086708,-0.05124215709086708,26.881720430107524,0.9284443272617489,41.64206848122463,"[-0.3556707576161495, 0.27155385060721926]"
AMP_ALL,LIM_025ATR_5M,1.0,1.5,279,279,233,83.51254480286738,65,168,0,0,-0.30257510729613735,-0.25268817204301075,27.896995708154503,0.5803571428571429,72.0,"[-0.41392142857142855, -0.07824129293893135]"
AMP_ALL,LIM_025ATR_5M,1.0,2.0,279,279,233,83.51254480286738,52,180,1,0,-0.32924066680994646,-0.27495725937891585,22.317596566523605,0.575497925587038,77.71307536671752,"[-0.4541908904370606, -0.079239571061556]"
AMP_ALL,LIM_025ATR_5M,1.0,3.0,279,279,233,83.51254480286738,43,189,1,0,-0.26057113891295075,-0.21760958912801978,18.4549356223176,0.6799742176475793,63.71307536671752,"[-0.4688818142795822, 0.06387738731696778]"
AMP_ALL,LIM_025ATR_5M,1.5,1.5,279,279,233,83.51254480286738,77,153,3,0,-0.16196626314497503,-0.13526214807447734,33.47639484978541,0.7541487986483356,39.99991826478299,"[-0.2843264456975019, 0.009040259465209775]"
AMP_ALL,LIM_025ATR_5M,1.5,2.0,279,279,233,83.51254480286738,64,161,8,0,-0.11627222821367322,-0.09710189668023604,30.042918454935624,0.8322511276484437,38.667071876985986,"[-0.2748263633446881, 0.08044561838984711]"
AMP_ALL,LIM_025ATR_5M,1.5,3.0,279,279,233,83.51254480286738,42,165,26,0,-0.05233949901025835,-0.04371004756053835,27.467811158798284,0.9265114253893988,41.35885630666504,"[-0.256532844618886, 0.18137501001715908]"
AMP_ALL,LIM_050ATR_5M,1.0,1.5,279,279,202,72.40143369175627,53,149,0,0,-0.34405940594059403,-0.24910394265232974,26.237623762376238,0.5335570469798657,69.5,"[-0.41044829952037754, -0.08010613207547203]"
AMP_ALL,LIM_050ATR_5M,1.0,2.0,279,279,202,72.40143369175627,47,155,0,0,-0.30198019801980197,-0.21863799283154123,23.26732673267327,0.6064516129032258,61.0,"[-0.41275711798795156, -0.015683222705424625]"
AMP_ALL,LIM_050ATR_5M,1.0,3.0,279,279,202,72.40143369175627,36,164,2,0,-0.27846473958997114,-0.20161246378915473,18.316831683168317,0.6579786844448274,56.249877397174174,"[-0.43104364712688026, 0.044980786536217614]"
AMP_ALL,LIM_050ATR_5M,1.5,1.5,279,279,202,72.40143369175627,63,134,5,0,-0.18991620476471327,-0.13750205506262395,33.16831683168317,0.7143664667137571,38.86867271196939,"[-0.27475081522369926, -0.0027084324570269998]"
AMP_ALL,LIM_050ATR_5M,1.5,2.0,279,279,202,72.40143369175627,51,141,10,0,-0.15850668008852073,-0.11476110888129458,29.7029702970297,0.7734156103192533,39.84964017128473,"[-0.2707098886412501, 0.043432469093474514]"
AMP_ALL,LIM_050ATR_5M,1.5,3.0,279,279,202,72.40143369175627,30,145,27,0,-0.14012731439038184,-0.10145418461239113,27.722772277227726,0.8052028941652148,48.08944750595977,"[-0.28985677147726485, 0.09373303761113928]"
AMP_ALL,LIM_050ATR_10M,1.0,1.5,279,279,220,78.85304659498208,56,164,0,0,-0.36363636363636365,-0.2867383512544803,25.454545454545453,0.5121951219512195,80.0,"[-0.4620619666561315, -0.10713377723970957]"
AMP_ALL,LIM_050ATR_10M,1.0,2.0,279,279,220,78.85304659498208,50,170,0,0,-0.3181818181818182,-0.25089605734767023,22.727272727272727,0.5882352941176471,70.0,"[-0.4553299755225005, -0.037497874149659896]"
AMP_ALL,LIM_050ATR_10M,1.0,3.0,279,279,220,78.85304659498208,39,179,2,0,-0.2829539881689735,-0.22311784013324074,18.181818181818183,0.6531326721668405,62.249877397174174,"[-0.46427799312690654, 0.03218074779183012]"
AMP_ALL,LIM_050ATR_10M,1.5,1.5,279,279,220,78.85304659498208,67,147,6,0,-0.20717250646918653,-0.16336183305813992,32.27272727272727,0.6910463615538618,46.083550772718354,"[-0.3059335035093557, -0.0207519531129482]"
AMP_ALL,LIM_050ATR_10M,1.5,2.0,279,279,220,78.85304659498208,55,154,11,0,-0.1692419429028643,-0.13345242809544852,29.09090909090909,0.7590450348673129,43.84964017128473,"[-0.2955039537761828, 0.03129410512751193]"
AMP_ALL,LIM_050ATR_10M,1.5,3.0,279,279,220,78.85304659498208,33,159,28,0,-0.15236634348911862,-0.12014550382654511,26.81818181818182,0.789870610842791,51.089447505959775,"[-0.3157693028219076, 0.08392571244009214]"
AMP_ALL,LIM_075ATR_10M,1.0,1.5,279,279,204,73.11827956989248,59,145,0,0,-0.2769607843137255,-0.2025089605734767,28.921568627450984,0.6103448275862069,59.0,"[-0.3355734342021012, -0.07168501980796366]"
AMP_ALL,LIM_075ATR_10M,1.0,2.0,279,279,204,73.11827956989248,54,150,0,0,-0.20588235294117646,-0.15053763440860216,26.47058823529412,0.72,44.0,"[-0.3095977986624506, 0.00744514906334266]"
AMP_ALL,LIM_075ATR_10M,1.0,3.0,279,279,204,73.11827956989248,40,160,4,0,-0.17060295926454955,-0.12474194870956311,21.07843137254902,0.7827705160124648,40.45264882643286,"[-0.29339994528416424, 0.047426973693868744]"
AMP_ALL,LIM_075ATR_10M,1.5,1.5,279,279,204,73.11827956989248,75,122,7,0,-0.03574829123996848,-0.026138535530299524,39.21568627450981,0.9404451928972417,21.93510598300174,"[-0.1577473120327641, 0.1037460571425273]"
AMP_ALL,LIM_075ATR_10M,1.5,2.0,279,279,204,73.11827956989248,58,129,17,0,-0.020989258095341533,-0.015346984413798104,34.31372549019608,0.9671646569324855,17.577156227480035,"[-0.14126748284511356, 0.10422896416198012]"
AMP_ALL,LIM_075ATR_10M,1.5,3.0,279,279,204,73.11827956989248,39,132,33,0,0.06865078525174717,0.05019627308729897,32.35294117647059,1.1048733854054784,15.536171460298242,"[-0.10252746014624849, 0.198863093102872]"
AMP_ALL,LIM_100ATR_10M,1.0,1.5,279,279,179,64.15770609318996,54,124,1,0,-0.23923082173811913,-0.1534850074950657,30.726256983240223,0.6546587331361022,47.5,"[-0.25746892560032775, -0.05154297141544358]"
AMP_ALL,LIM_100ATR_10M,1.0,2.0,279,279,179,64.15770609318996,45,133,1,0,-0.23923082173811913,-0.1534850074950657,25.69832402234637,0.6780276910441856,45.0,"[-0.2662161500587478, -0.03219685304844458]"
AMP_ALL,LIM_100ATR_10M,1.0,3.0,279,279,179,64.15770609318996,35,140,4,0,-0.17779232872941597,-0.11406747972245683,21.787709497206702,0.7726798082673896,39.331438317225924,"[-0.2615843571487257, 0.04061879870073339]"
AMP_ALL,LIM_100ATR_10M,1.5,1.5,279,279,179,64.15770609318996,66,106,7,0,-0.039588333991107644,-0.025398966969205267,39.10614525139665,0.933951408559694,21.090242530668938,"[-0.14631966666459253, 0.10786762654703858]"
AMP_ALL,LIM_100ATR_10M,1.5,2.0,279,279,179,64.15770609318996,54,109,16,0,0.02089499478852067,0.013405749344606454,36.312849162011176,1.0337674338857543,16.387654131211026,"[-0.11053802270141905, 0.15007546195483812]"
