feed,period,shift_min,horizon,candidate_n,candidate_ev,complement_ev,incremental
RITHMIC,PRE_DISCOVERY,-60,15,63,0.21501147036360077,0.12837623632157316,0.08663523404202761
RITHMIC,PRE_DISCOVERY,-30,5,43,-0.31038047294144966,-0.019090399768990157,-0.2912900731724595
RITHMIC,PRE_DISCOVERY,-30,15,43,-0.20935582742382838,0.13989901514838976,-0.34925484257221817
RITHMIC,PRE_DISCOVERY,-15,5,52,0.20807370051654572,-0.03296315135758514,0.24103685187413088
RITHMIC,PRE_DISCOVERY,-15,15,52,1.7557159197560315,0.0834536962807217,1.6722622234753097
RITHMIC,PRE_DISCOVERY,-10,5,55,0.1482040961614102,-0.03162019816725301,0.1798242943286632
RITHMIC,PRE_DISCOVERY,-10,15,55,1.6491067514547655,0.0829742859222248,1.5661324655325406
RITHMIC,PRE_DISCOVERY,-5,5,49,0.8602681090384295,-0.051052491767828855,0.9113206008062584
RITHMIC,PRE_DISCOVERY,-5,15,49,2.0634863070500846,0.07666189967744741,1.9868244073726373
RITHMIC,PRE_DISCOVERY,-3,5,55,0.6181363479142588,-0.04652577708674933,0.6646621250010081
RITHMIC,PRE_DISCOVERY,-3,15,55,0.45619235792666063,0.12107550058194937,0.33511685734471125
RITHMIC,PRE_DISCOVERY,-2,5,73,0.8549704150289769,-0.0635728663346471,0.918543281363624
RITHMIC,PRE_DISCOVERY,-2,15,73,1.1547753367941516,0.08760797658574541,1.0671673602084062
RITHMIC,PRE_DISCOVERY,-1,5,85,0.9445976596876859,-0.07451232359541808,1.019109983283104
RITHMIC,PRE_DISCOVERY,-1,15,85,1.0184248737891837,0.08688917104964695,0.9315357027395367
RITHMIC,PRE_DISCOVERY,1,5,110,0.29522556778128944,-0.04714294865341333,0.3423685164347028
RITHMIC,PRE_DISCOVERY,1,15,110,0.9002223744798032,0.08071873455027286,0.8195036399295303
RITHMIC,PRE_DISCOVERY,2,5,100,0.2234392995510224,-0.040865676902451964,0.2643049764534744
RITHMIC,PRE_DISCOVERY,2,15,100,0.6579989244515034,0.10004931380019852,0.5579496106513049
RITHMIC,PRE_DISCOVERY,3,5,86,0.061162514161344744,-0.0304980472994802,0.09166056146082495
RITHMIC,PRE_DISCOVERY,3,15,86,0.5316795044952659,0.11109293571939109,0.4205865687758748
RITHMIC,PRE_DISCOVERY,5,5,89,-0.18455807091232765,-0.017795605895259997,-0.16676246501706765
RITHMIC,PRE_DISCOVERY,5,15,89,0.337413376357245,0.12058815236509977,0.2168252239921452
RITHMIC,PRE_DISCOVERY,10,5,69,0.10933596477764658,-0.03152463947837021,0.1408606042560168
RITHMIC,PRE_DISCOVERY,10,15,69,0.5891285337720166,0.112958268652116,0.47617026511990057
RITHMIC,PRE_DISCOVERY,15,5,54,0.008641147939613816,-0.027172807101947156,0.03581395504156097
RITHMIC,PRE_DISCOVERY,15,15,54,0.5946442084200186,0.116930820913176,0.47771338750684267
RITHMIC,PRE_DISCOVERY,30,5,55,-0.4715314433209751,-0.01196307321250607,-0.459568370108469
RITHMIC,PRE_DISCOVERY,30,15,55,0.14721626027183998,0.13095351923006612,0.01626274104177386
RITHMIC,PRE_DISCOVERY,60,5,50,-0.07198020369601489,-0.024772391114628162,-0.04720781258138673
RITHMIC,PRE_DISCOVERY,60,15,50,-0.11859472359395999,0.13868692985974593,-0.2572816534537059
RITHMIC,PRE_DISCOVERY,120,5,46,-0.06570480734886427,-0.025046343772284207,-0.04065846357658007
RITHMIC,PRE_DISCOVERY,120,15,46,0.27396353380734756,0.12766046743671017,0.1463030663706374
RITHMIC,FULL,-120,5,56,0.2879307599225888,-0.051659383450109786,0.3395901433726986
RITHMIC,FULL,-120,15,56,-0.030750131846847398,0.1525863841184282,-0.18333651596527561
RITHMIC,FULL,-60,5,75,-0.10063267339787642,-0.040932841301860194,-0.059699832096016224
RITHMIC,FULL,-60,15,75,0.11529450047117144,0.14910096675406087,-0.03380646628288943
RITHMIC,FULL,-30,5,52,-0.33937020363283554,-0.035611754345711046,-0.3037584492871245
RITHMIC,FULL,-30,15,52,-0.23085945364306396,0.1574573262346207,-0.38831677987768465
RITHMIC,FULL,-15,5,60,0.1731421955660473,-0.04920552727014247,0.22234772283618975
RITHMIC,FULL,-15,15,60,1.6723451530559854,0.10411221701548723,1.568232936040498
RITHMIC,FULL,-10,5,63,0.08980178081216302,-0.047092612910573685,0.1368943937227367
