episode_id,rule,gc_t0_ms,event_utc,period,prediction,source_signal_direction,quiet_start,signal_index,elapsed_s,directional_balance,run_length_same_direction,direction_flips_so_far,hit1,hit2,hit3,fixed5m_ev_atr,mfe5_atr,mae5_atr
189,R2_EARLY_QUIET_DOMINANCE_3,1786125510000,2026-08-07T17:58:30+00:00,TRAIN,1,1,True,3,120.0,1.0,3,0,,False,False,-1.6486684583435485,0.1710236989983037,-1.7068165160036188
189,R3_RUN3_BEFORE240,1786125510000,2026-08-07T17:58:30+00:00,TRAIN,1,1,True,3,120.0,1.0,3,0,,False,False,-1.6486684583435485,0.1710236989983037,-1.7068165160036188
189,R4_DOMINANCE_THEN_OPPOSITE_FLIP,1786125690000,2026-08-07T18:01:30+00:00,TRAIN,-1,-1,True,5,300.0,0.6,1,1,,False,False,-1.4222436206071936,0.9537794896492252,-1.3143957631199068
191,R4_DOMINANCE_THEN_OPPOSITE_FLIP,1786126560000,2026-08-07T18:16:00+00:00,TRAIN,-1,-1,False,4,300.0,0.0,1,2,,True,False,1.47210300429138,2.685836909870201,-0.5107296137340005
193,R1_EARLY_DOMINANCE_3,1786127220000,2026-08-07T18:27:00+00:00,TRAIN,-1,-1,True,3,180.0,1.0,3,0,,False,False,-0.7570691434470439,1.0055727554177778,-1.0575851393187878
193,R2_EARLY_QUIET_DOMINANCE_3,1786127220000,2026-08-07T18:27:00+00:00,TRAIN,-1,-1,True,3,180.0,1.0,3,0,,False,False,-0.7570691434470439,1.0055727554177778,-1.0575851393187878
193,R3_RUN3_BEFORE240,1786127220000,2026-08-07T18:27:00+00:00,TRAIN,-1,-1,True,3,180.0,1.0,3,0,,False,False,-0.7570691434470439,1.0055727554177778,-1.0575851393187878
214,R4_DOMINANCE_THEN_OPPOSITE_FLIP,1786313820000,2026-08-09T22:17:00+00:00,TRAIN,-1,-1,True,4,240.0,0.0,1,3,,True,False,1.802043617507585,2.113771541863413,-0.0427024553913369
220,R5_DOMINANCE_REASSERT_AFTER_FLIP,1786316820000,2026-08-09T23:07:00+00:00,TRAIN,-1,-1,False,4,270.0,0.5,1,2,,False,False,0.8315151515156444,1.2515151515148264,-0.0
224,R3_RUN3_BEFORE240,1786318410000,2026-08-09T23:33:30+00:00,TRAIN,-1,-1,True,3,210.0,1.0,3,0,,True,False,0.8979192166464932,2.008323133415025,-0.0068543451653879
