### SHEET Sheet1 dim=273x15
199	2023.04.04 16:44:41	21	XAUUSD	sell	out	0.31	1992.75	21	-0.43	0.0	372.0	101779.25	tp 1992.75		
200	2023.07.18 08:00:00	22	XAUUSD	buy	in	0.46	1960.09	22	-0.63	0.0	0.0	101778.62	CTX BUY E75 C76		
201	2023.07.18 14:16:31	23	XAUUSD	sell	out	0.46	1968.2	23	-0.63	0.0	373.06	102151.05	tp 1968.19		
202	2023.11.03 12:00:00	24	XAUUSD	buy	in	0.41	1988.57	24	-0.57	0.0	0.0	102150.48	CTX BUY E75 C76		
203	2023.11.03 15:31:29	25	XAUUSD	sell	out	0.41	1997.88	25	-0.57	0.0	381.71	102531.62	tp 1997.85		
204	2023.11.03 16:00:00	26	XAUUSD	buy	in	0.17	2000.33	26	-0.24	0.0	0.0	102531.38	CTX BUY E75 C76		
205	2023.11.06 05:23:28	27	XAUUSD	sell	out	0.17	1985.74	27	-0.24	-14.11	-248.03	102269.0	sl 1985.75		
206	2023.11.24 20:00:00	28	XAUUSD	buy	in	0.43	2001.03	28	-0.6	0.0	0.0	102268.4	CTX BUY E75 C76		
207	2023.11.27 03:24:36	29	XAUUSD	sell	out	0.43	2009.74	29	-0.6	-35.69	374.53	102606.64	tp 2009.73		
208	2023.11.28 16:00:00	30	XAUUSD	buy	in	0.25	2021.54	30	-0.35	0.0	0.0	102606.29	CTX BUY E100 C76		
209	2023.11.28 18:21:28	31	XAUUSD	sell	out	0.25	2036.32	31	-0.36	0.0	369.5	102975.43	tp 2036.32		
210	2023.12.21 16:00:00	32	XAUUSD	buy	in	0.27	2041.41	32	-0.39	0.0	0.0	102975.04	CTX BUY E100 C76		
211	2023.12.22 12:20:37	33	XAUUSD	sell	out	0.27	2055.5	33	-0.39	-22.41	380.43	103332.67	tp 2055.50		
212	2023.12.22 16:00:00	34	XAUUSD	buy	in	0.26	2067.36	34	-0.38	0.0	0.0	103332.29	CTX BUY E75 C76		
213	2023.12.22 18:41:39	35	XAUUSD	sell	out	0.26	2057.59	35	-0.37	0.0	-254.02	103077.9	sl 2057.60		
214	2023.12.27 12:00:00	36	XAUUSD	buy	in	0.42	2068.43	36	-0.61	0.0	0.0	103077.29	CTX BUY E75 C76		
215	2023.12.27 12:30:38	37	XAUUSD	sell	out	0.42	2062.3	37	-0.61	0.0	-257.46	102819.22	sl 2062.33		
216	2024.03.15 12:00:00	38	XAUUSD	buy	in	0.37	2169.19	38	-0.56	0.0	0.0	102818.66	CTX BUY E75 C76		
217	2024.03.15 15:29:03	39	XAUUSD	sell	out	0.37	2162.42	39	-0.56	0.0	-250.49	102567.61	sl 2162.43		
218	2024.08.09 20:00:00	40	XAUUSD	buy	in	0.21	2434.65	40	-0.36	0.0	0.0	102567.25	CTX BUY E100 C76		
219	2024.08.12 16:40:05	41	XAUUSD	sell	out	0.21	2452.58	41	-0.36	-17.43	376.53	102925.99	tp 2452.58		
220	2024.08.23 12:00:00	42	XAUUSD	buy	in	0.2	2499.17	42	-0.35	0.0	0.0	102925.64	CTX BUY E75 C76		
221	2024.08.23 18:29:14	43	XAUUSD	sell	out	0.2	2518.21	43	-0.35	0.0	380.8	103306.09	tp 2518.21		
222	2024.08.26 12:00:00	44	XAUUSD	buy	in	0.24	2524.39	44	-0.42	0.0	0.0	103305.67	CTX BUY E75 C76		
223	2024.08.26 17:01:05	45	XAUUSD	sell	out	0.24	2514.08	45	-0.42	0.0	-247.44	103057.81	sl 2514.09		
