flow_id,signal_time,side,horizon,state,signal_close,atr14,passage_time,delay_h,total12_atr,residual12_atr,mae12_atr,mfe12_atr,stop15_touch,frozen_signed12_atr
756,2022-04-12 07:30:00+00:00,-1,2H,ADVERSE_FIRST,40082.6,160.5,2022-04-12 08:00:00+00:00,0.5,3.40436137071652,3.90436137071652,3.846728971962626,4.514641744548277,True,3.40436137071652
757,2022-04-12 20:45:00+00:00,-1,2H,ADVERSE_FIRST,39495.8,212.6285714285706,2022-04-12 21:00:00+00:00,0.25,-3.0480381617844716,-2.548038161784457,4.2995162590701455,0.21633969363074526,True,-3.048038161784472
758,2022-04-13 08:45:00+00:00,1,2H,ADVERSE_FIRST,40143.9,131.53571428571482,2022-04-13 09:15:00+00:00,0.5,8.165082812924213,8.665082812924195,4.130437143632913,10.917947325549768,True,8.165082812924213
759,2022-04-13 22:00:00+00:00,1,2H,ACCEPT_FIRST,41204.9,166.8999999999999,2022-04-13 22:15:00+00:00,0.25,-0.24925104853204658,-0.7492510485320294,1.6069502696225557,1.6171360095865885,True,-0.2492510485320465
760,2022-04-14 11:45:00+00:00,1,2H,ACCEPT_FIRST,40913.5,130.8999999999999,2022-04-14 12:00:00+00:00,0.25,-7.621084797555381,-8.121084797555358,10.630252100840345,2.8609625668449223,True,-7.621084797555381
761,2022-04-14 23:45:00+00:00,-1,2H,ADVERSE_FIRST,39915.9,96.37857142857163,2022-04-15 00:00:00+00:00,0.25,-3.026606388497703,-2.526606388497676,5.706662713999839,1.8852738456978104,True,-3.026606388497703
762,2022-04-15 11:45:00+00:00,1,2H,ADVERSE_FIRST,40207.6,122.6857142857147,2022-04-15 12:00:00+00:00,0.25,2.623777363763394,3.123777363763411,2.921285514671637,5.545877969259425,True,2.623777363763394
763,2022-04-16 06:45:00+00:00,1,2H,ADVERSE_FIRST,40409.1,63.61428571428509,2022-04-16 07:15:00+00:00,0.5,-3.8088928812036515,-3.30889288120366,7.297103076577614,2.5135863462834522,True,-3.808892881203652
764,2022-04-16 21:45:00+00:00,-1,2H,ADVERSE_FIRST,40465.1,87.47142857142951,2022-04-16 22:00:00+00:00,0.25,0.6699330393597671,1.169933039359764,2.654581087702128,4.239098481136602,True,0.6699330393597671
765,2022-04-17 09:45:00+00:00,1,2H,ACCEPT_FIRST,40406.5,63.40714285714265,2022-04-17 10:00:00+00:00,0.25,-3.430212909766824,-3.930212909766865,10.069843415568355,2.6432353272501827,True,-3.430212909766824
766,2022-04-17 23:15:00+00:00,-1,2H,ACCEPT_FIRST,39628.0,155.45000000000124,2022-04-17 23:30:00+00:00,0.25,3.916371823737524,3.416371823737537,1.5567706658089293,7.477002251527781,True,3.916371823737524
767,2022-04-18 11:15:00+00:00,1,2H,ADVERSE_FIRST,39019.2,107.32857142857081,2022-04-18 11:45:00+00:00,0.5,16.733661653134664,17.23366165313468,0.6140023958471474,21.343804072940387,False,16.733661653134664
768,2022-04-18 23:15:00+00:00,1,2H,ADVERSE_FIRST,40815.2,164.5714285714291,2022-04-18 23:30:00+00:00,0.25,-0.2898437499999814,0.21015625000003596,1.6497395833333282,2.982291666666675,True,-0.2898437499999814
769,2022-04-19 12:15:00+00:00,1,2H,ACCEPT_FIRST,40882.1,135.94285714285692,2022-04-19 12:30:00+00:00,0.25,2.7783732660782205,2.278373266078217,0.464901218999559,6.66382934005887,False,2.7783732660782205
