SL,TP,hold,RR,N,pos_years,EV,PF,MaxDD_R,SumR,R_DD,Y2021,Y2022,Y2023,Y2024,Y2025
2.0,8.0,18,4.0,2125,3,0.04113664036751405,1.05843382906841,67.3599623806449,87.41536078096735,1.297734703101395,64.75837706208591,-3.853603178445083,-11.474800790238744,3.9125305728863107,34.0728571146789
2.0,8.0,24,4.0,2037,3,0.04924154012576108,1.0676216536210223,74.62843275395869,100.30501723617533,1.3440590071999685,69.20226027527751,-1.889337853640304,-18.046900057599135,20.900452732017765,30.138542140119494
2.5,1.5,6,0.6,2522,1,-0.028429212783473594,0.9214408632625225,100.22862297423433,-71.6984746399204,-0.7153492935680844,13.799470369604693,-13.856721753468175,-15.632210115237239,-18.84865929257266,-37.160353848246935
2.5,1.5,12,0.6,2497,1,-0.022627014062548263,0.9400580722748748,93.5655717558135,-56.49965411418301,-0.6038508935918785,19.314739532541697,-6.588930847286006,-15.506849726514105,-17.083017622295063,-36.63559545062949
2.5,1.5,18,0.6,2476,1,-0.019342456932534335,0.9492024848746029,87.65951378205949,-47.89192336495501,-0.5463402806913199,20.53528459195311,-6.259344498818059,-11.014284190095003,-20.1217713336094,-31.031807934385665
2.5,1.5,24,0.6,2460,1,-0.018624458153893096,0.9514766066524283,88.11069168603913,-45.816167058577015,-0.5199841946744863,22.153125842677024,-11.26160767141719,-8.023325495995019,-18.715440506466177,-29.968919227375643
2.5,2.0,6,0.8,2506,1,-0.0255120056412357,0.9376405162593736,99.9011977661161,-63.933086136936666,-0.6399631592667562,23.151349018588135,-15.250319009942128,-14.942239073851036,-24.037396139235685,-32.85448093249602
2.5,2.0,12,0.8,2472,1,-0.020158463443310657,0.9538033867945247,88.0094955148689,-49.83172163186394,-0.5662084680788227,23.025529271410864,-2.5958148582083878,-13.373904413722455,-23.577432132791348,-33.31009949855266
2.5,2.0,18,0.8,2441,1,-0.017730142360574276,0.960097851426081,86.6815763548691,-43.27927750216181,-0.49929038351793564,22.205205119432026,-3.3926323675146293,-8.482866452373276,-26.830993139760796,-26.777990661945065
2.5,2.0,24,0.8,2416,1,-0.01593146619498937,0.9645266865632148,83.75011969563116,-38.490422327094315,-0.4595864754221023,26.788805026131232,-7.287604164527895,-8.83980031021672,-22.5409275133719,-26.610895365108927
2.5,3.0,6,1.2,2459,1,-0.02553220570887518,0.943861719676957,99.54480052439271,-62.783693838124066,-0.6307079175143797,20.066545106702577,-19.939779153856872,-9.537445117098692,-24.811570626101133,-28.561444047769974
2.5,3.0,12,1.2,2394,2,0.0009557107308520948,1.0019087126959794,69.7104441730781,2.287971489659915,0.032821071746140455,31.077115906402803,6.411226687328796,-0.3473397187401708,-16.967836255816533,-17.885195129514887
2.5,3.0,18,1.2,2336,3,0.006196054532015752,1.011913370475858,64.31437907833494,14.473983386788797,0.22505050338991037,35.24633923430272,8.723297211517476,9.57235357551969,-20.945984443910053,-18.122022190640863
2.5,3.0,24,1.2,2302,3,0.011294224959029021,1.0213125154083493,59.60197582929155,25.999305855684806,0.43621550282410904,39.99300228856939,7.727559776130459,12.702646979774553,-20.753535919305786,-13.670367269483732
2.5,4.0,6,1.6,2422,1,-0.008663829047539165,0.9816358145457921,69.32532914453425,-20.98379395313986,-0.30268581789768917,26.517119195976058,-6.0390677342503425,-3.1649147397345923,-22.074203837389042,-16.22272683774207
