transition_time,destination,lag,window,seq_score,active_count,rank,top2
2020-02-08 00:00:00+00:00,PULLBACK,2,2,30.0,2.0,3.0,False
2020-02-08 00:00:00+00:00,PULLBACK,2,3,60.0,3.0,1.0,True
2020-02-08 00:00:00+00:00,PULLBACK,3,1,30.0,2.0,3.0,False
2020-02-08 00:00:00+00:00,PULLBACK,3,2,60.0,3.0,1.0,True
2020-02-08 00:00:00+00:00,PULLBACK,3,3,60.0,3.0,1.0,True
2020-02-09 00:00:00+00:00,EXPANSION,1,1,0.0,0.0,4.0,False
2020-02-09 00:00:00+00:00,EXPANSION,1,2,0.0,0.0,4.0,False
2020-02-09 00:00:00+00:00,EXPANSION,1,3,10.0,1.0,4.0,False
2020-02-09 00:00:00+00:00,EXPANSION,2,1,0.0,0.0,4.0,False
2020-02-09 00:00:00+00:00,EXPANSION,2,2,10.0,1.0,4.0,False
2020-02-09 00:00:00+00:00,EXPANSION,2,3,20.0,2.0,3.0,False
2020-02-09 00:00:00+00:00,EXPANSION,3,1,10.0,1.0,4.0,False
2020-02-09 00:00:00+00:00,EXPANSION,3,2,20.0,2.0,3.0,False
2020-02-09 00:00:00+00:00,EXPANSION,3,3,20.0,2.0,3.0,False
2020-02-10 20:00:00+00:00,PULLBACK,1,1,10.0,1.0,4.0,False
2020-02-10 20:00:00+00:00,PULLBACK,1,2,10.0,1.0,4.0,False
2020-02-10 20:00:00+00:00,PULLBACK,1,3,40.0,3.0,3.0,False
2020-02-10 20:00:00+00:00,PULLBACK,2,1,10.0,1.0,4.0,False
2020-02-10 20:00:00+00:00,PULLBACK,2,2,40.0,3.0,3.0,False
2020-02-10 20:00:00+00:00,PULLBACK,2,3,70.0,5.0,3.0,False
2020-02-10 20:00:00+00:00,PULLBACK,3,1,40.0,3.0,3.0,False
2020-02-10 20:00:00+00:00,PULLBACK,3,2,70.0,5.0,2.0,True
2020-02-10 20:00:00+00:00,PULLBACK,3,3,100.0,6.0,1.0,True
2020-02-11 20:00:00+00:00,EXPANSION,1,1,10.0,1.0,3.0,False
2020-02-11 20:00:00+00:00,EXPANSION,1,2,55.0,3.0,2.0,True
2020-02-11 20:00:00+00:00,EXPANSION,1,3,65.0,4.0,2.0,True
2020-02-11 20:00:00+00:00,EXPANSION,2,1,45.0,2.0,3.0,False
2020-02-11 20:00:00+00:00,EXPANSION,2,2,55.0,3.0,2.0,True
2020-02-11 20:00:00+00:00,EXPANSION,2,3,65.0,4.0,1.0,True
2020-02-11 20:00:00+00:00,EXPANSION,3,1,40.0,2.0,3.0,False
2020-02-11 20:00:00+00:00,EXPANSION,3,2,50.0,3.0,2.0,True
2020-02-11 20:00:00+00:00,EXPANSION,3,3,50.0,3.0,2.0,True
2020-02-13 16:00:00+00:00,PULLBACK,1,1,65.0,4.0,3.0,False
2020-02-13 16:00:00+00:00,PULLBACK,1,2,100.0,6.0,1.0,True
2020-02-13 16:00:00+00:00,PULLBACK,1,3,100.0,6.0,1.0,True
2020-02-13 16:00:00+00:00,PULLBACK,2,1,60.0,4.0,3.0,False
2020-02-13 16:00:00+00:00,PULLBACK,2,2,100.0,6.0,1.0,True
2020-02-13 16:00:00+00:00,PULLBACK,2,3,100.0,6.0,1.0,True
2020-02-13 16:00:00+00:00,PULLBACK,3,1,60.0,3.0,1.0,True
2020-02-13 16:00:00+00:00,PULLBACK,3,2,60.0,3.0,1.0,True
2020-02-13 16:00:00+00:00,PULLBACK,3,3,60.0,3.0,1.0,True
2020-02-15 20:00:00+00:00,EXPANSION,1,1,0.0,0.0,4.0,False
2020-02-15 20:00:00+00:00,EXPANSION,1,2,15.0,1.0,3.0,False
2020-02-15 20:00:00+00:00,EXPANSION,1,3,35.0,3.0,3.0,False
2020-02-15 20:00:00+00:00,EXPANSION,2,1,15.0,1.0,3.0,False
2020-02-15 20:00:00+00:00,EXPANSION,2,2,35.0,3.0,3.0,False
2020-02-15 20:00:00+00:00,EXPANSION,2,3,35.0,3.0,3.0,False
2020-02-15 20:00:00+00:00,EXPANSION,3,1,35.0,3.0,3.0,False
2020-02-15 20:00:00+00:00,EXPANSION,3,2,35.0,3.0,3.0,False
2020-02-15 20:00:00+00:00,EXPANSION,3,3,35.0,3.0,3.0,False
2020-02-16 08:00:00+00:00,PULLBACK,1,1,10.0,1.0,3.0,False
2020-02-16 08:00:00+00:00,PULLBACK,1,2,10.0,1.0,3.0,False
2020-02-16 08:00:00+00:00,PULLBACK,1,3,20.0,2.0,3.0,False
2020-02-16 08:00:00+00:00,PULLBACK,2,1,10.0,1.0,3.0,False
2020-02-16 08:00:00+00:00,PULLBACK,2,2,20.0,2.0,3.0,False
2020-02-16 08:00:00+00:00,PULLBACK,2,3,20.0,2.0,3.0,False
2020-02-16 08:00:00+00:00,PULLBACK,3,1,10.0,1.0,4.0,False
2020-02-16 08:00:00+00:00,PULLBACK,3,2,10.0,1.0,4.0,False
2020-02-16 08:00:00+00:00,PULLBACK,3,3,25.0,2.0,3.0,False
2020-02-17 12:00:00+00:00,EXPANSION,1,1,30.0,1.0,2.0,True
2020-02-17 12:00:00+00:00,EXPANSION,1,2,30.0,1.0,2.0,True
2020-02-17 12:00:00+00:00,EXPANSION,1,3,30.0,1.0,2.0,True
2020-02-17 12:00:00+00:00,EXPANSION,2,1,0.0,0.0,4.0,False
2020-02-17 12:00:00+00:00,EXPANSION,2,2,0.0,0.0,4.0,False
2020-02-17 12:00:00+00:00,EXPANSION,2,3,50.0,2.0,1.0,True
2020-02-17 12:00:00+00:00,EXPANSION,3,1,0.0,0.0,4.0,False
2020-02-17 12:00:00+00:00,EXPANSION,3,2,50.0,2.0,1.0,True
2020-02-17 12:00:00+00:00,EXPANSION,3,3,50.0,2.0,1.0,True
2020-02-18 04:00:00+00:00,PULLBACK,1,1,10.0,1.0,3.0,False
