flow_id,signal_time,side,frozen_signed12_atr,signal_close,atr14,level,distance_atr,distance_bin,oi_logchg_3h,oi_backed,touch_time,class_time,state,class_price,residual_atr,oi_flush,oi_flush_logchg
1043,2022-10-01 09:00:00+00:00,-1,2.340185227016073,19329.9,31.621428571428105,19222.9,3.383781341766483,>2,-0.0024197944776407354,False,2022-10-01 11:15:00+00:00,2022-10-01 11:15:00+00:00,ACCEPT,19199.4,-1.7867630449514607,True,-0.006089863731210343
1044,2022-10-02 07:15:00+00:00,-1,0.8993288590604251,19279.7,44.69999999999969,19190.4,1.9977628635346731,1-2,-9.072983925229039e-05,False,2022-10-02 10:00:00+00:00,2022-10-02 10:15:00+00:00,ACCEPT,19095.7,-3.2170022371364713,False,0.015276971040536935
1045,2022-10-02 21:30:00+00:00,-1,-0.079837067209789,19144.1,52.60714285714338,19025.0,2.263951120162883,>2,-0.01626184265156283,False,2022-10-02 23:00:00+00:00,2022-10-02 23:00:00+00:00,ACCEPT,18963.2,-3.518533604887921,True,-0.0025594161320032782
1046,2022-10-03 09:30:00+00:00,-1,-8.863992762364315,19148.3,47.37142857142862,18896.0,5.325995174909508,>2,-0.0009915360351122615,False,,,NO_TOUCH,,,,
1047,2022-10-03 21:30:00+00:00,1,5.628449048709982,19568.2,71.70714285714323,19646.8,1.0961251120629285,1-2,0.0003617885684406019,True,2022-10-03 23:15:00+00:00,2022-10-04 00:00:00+00:00,ACCEPT,19678.0,4.0972208387289255,False,0.0032632710900095674
1048,2022-10-04 09:30:00+00:00,1,2.932287859658453,19971.8,107.49285714285725,20159.3,1.744301946973219,1-2,0.08084237768812841,True,2022-10-04 14:00:00+00:00,2022-10-04 14:00:00+00:00,ACCEPT,20169.5,1.093095886769884,False,0.020040963389403643
1049,2022-10-04 21:45:00+00:00,1,-1.906652734238941,20281.2,102.53571428571429,20500.0,2.1338906304423473,>2,0.03234706711335811,True,,,NO_TOUCH,,,,
1050,2022-10-05 14:00:00+00:00,-1,-6.131185270425836,19853.6,86.89999999999964,19810.0,0.5017261219792719,0.5-1,-0.0005769828923902764,False,2022-10-05 14:15:00+00:00,2022-10-05 14:15:00+00:00,ACCEPT,19806.9,-6.668584579977013,True,-0.021690680893311054
1051,2022-10-06 02:00:00+00:00,1,-5.343529611691751,20386.4,84.06428571428556,20424.6,0.4544141388392899,<=0.5,0.03163885740918815,True,2022-10-06 02:00:00+00:00,2022-10-06 02:45:00+00:00,REJECT,20322.8,-4.586965757498504,False,0.006452230480132215
1052,2022-10-06 14:15:00+00:00,-1,-1.3099880118619396,19872.8,113.20714285714295,19889.9,0.0,<=0.5,-0.01624445952362663,False,2022-10-06 14:15:00+00:00,2022-10-06 14:15:00+00:00,ACCEPT,19872.8,-1.3099880118619396,True,-0.013085360057655038
