flow_id,signal_time,side,origin,entry,atr14,extension_parent_reaccept_time,extension_time,residual_atr,failure_time,origin_reclaim_time,full_reaccept_time,extra_bad_closes_before_reaccept,accept_time,recon_failure_time,recon_reaccept_time,cycle_count,bad_closes,signal_to_accept_h,accept_to_failure_h,failure_to_origin_reclaim_h,failure_to_full_reaccept_h,reaccept_to_extension_h,signal_to_extension_h,accept_to_extension_h,cycle_count_accept_to_extension,origin_bad_close_count_accept_to_extension,clock_order_valid,failure_parity,reaccept_parity
205,2021-04-20 00:45:00+00:00,1,54641.36,54874.26285714286,465.8057142857132,2021-04-20 04:00:00+00:00,2021-04-20 04:45:00+00:00,1.5662845330977997,2021-04-20 02:15:00+00:00,2021-04-20 04:00:00+00:00,2021-04-20 04:00:00+00:00,6,2021-04-20 01:00:00+00:00,2021-04-20 02:15:00+00:00,2021-04-20 04:00:00+00:00,1.0,8.0,0.25,1.25,1.75,1.75,0.75,4.0,3.75,1.0,8.0,True,True,True
207,2021-04-21 01:00:00+00:00,-1,55736.92,55555.045,363.7500000000005,2021-04-21 03:45:00+00:00,2021-04-21 04:00:00+00:00,0.1008384879725092,2021-04-21 01:30:00+00:00,2021-04-21 03:45:00+00:00,2021-04-21 03:45:00+00:00,8,2021-04-21 01:15:00+00:00,2021-04-21 01:45:00+00:00,2021-04-21 03:45:00+00:00,1.0,9.0,0.25,0.25,2.25,2.25,0.25,3.0,2.75,1.0,9.0,True,False,True
208,2021-04-21 13:00:00+00:00,1,55336.49,55530.86928571428,388.7585714285727,2021-04-21 19:15:00+00:00,2021-04-21 19:30:00+00:00,-3.1717334666024573,2021-04-21 18:45:00+00:00,2021-04-21 19:00:00+00:00,2021-04-21 19:15:00+00:00,0,2021-04-21 13:30:00+00:00,2021-04-21 18:45:00+00:00,2021-04-21 19:15:00+00:00,1.0,2.0,0.5,5.25,0.25,0.5,0.25,6.5,6.0,1.0,2.0,True,True,True
210,2021-04-22 14:45:00+00:00,-1,54769.08,54569.4025,399.3550000000006,2021-04-22 17:15:00+00:00,2021-04-22 17:30:00+00:00,10.85446532533708,2021-04-22 16:30:00+00:00,2021-04-22 17:00:00+00:00,2021-04-22 17:15:00+00:00,1,2021-04-22 15:00:00+00:00,2021-04-22 16:30:00+00:00,2021-04-22 17:15:00+00:00,1.0,3.0,0.25,1.5,0.5,0.75,0.25,2.75,2.5,1.0,3.0,True,True,True
215,2021-04-25 06:00:00+00:00,-1,49858.03,49744.48285714286,227.09428571428413,2021-04-25 09:15:00+00:00,2021-04-25 09:30:00+00:00,-0.980580753117017,2021-04-25 09:00:00+00:00,2021-04-25 09:15:00+00:00,2021-04-25 09:15:00+00:00,0,2021-04-25 06:15:00+00:00,2021-04-25 09:00:00+00:00,2021-04-25 09:15:00+00:00,1.0,2.0,0.25,2.75,0.25,0.25,0.25,3.5,3.25,1.0,2.0,True,True,True
236,2021-05-07 14:30:00+00:00,1,57101.01,57286.465,370.90999999999934,2021-05-07 23:00:00+00:00,2021-05-08 00:00:00+00:00,1.4701410045563663,2021-05-07 22:45:00+00:00,2021-05-07 23:00:00+00:00,2021-05-07 23:00:00+00:00,0,2021-05-07 15:00:00+00:00,2021-05-07 22:45:00+00:00,2021-05-07 23:00:00+00:00,1.0,2.0,0.5,7.75,0.25,0.25,1.0,9.5,9.0,1.0,2.0,True,True,True
239,2021-05-09 04:15:00+00:00,-1,58440.98,58240.97178571429,400.0164285714288,2021-05-09 07:00:00+00:00,2021-05-09 07:15:00+00:00,0.8335496934947453,2021-05-09 06:00:00+00:00,2021-05-09 06:45:00+00:00,2021-05-09 07:00:00+00:00,2,2021-05-09 04:30:00+00:00,2021-05-09 06:00:00+00:00,2021-05-09 07:00:00+00:00,1.0,5.0,0.25,1.5,0.75,1.0,0.25,3.0,2.75,1.0,5.0,True,True,True
249,2021-05-14 11:30:00+00:00,-1,50771.54,50622.39964285714,298.2807142857143,2021-05-14 18:15:00+00:00,2021-05-14 18:30:00+00:00,1.755089285500459,2021-05-14 15:00:00+00:00,2021-05-14 17:30:00+00:00,2021-05-14 18:15:00+00:00,9,2021-05-14 11:45:00+00:00,2021-05-14 15:00:00+00:00,2021-05-14 18:15:00+00:00,1.0,12.0,0.25,3.25,2.5,3.25,0.25,7.0,6.75,1.0,12.0,True,True,True
252,2021-05-16 02:30:00+00:00,1,48048.21,48300.73321428571,505.0464285714287,2021-05-16 03:45:00+00:00,2021-05-16 04:00:00+00:00,-0.4151824796871513,2021-05-16 03:30:00+00:00,2021-05-16 03:45:00+00:00,2021-05-16 03:45:00+00:00,0,2021-05-16 02:45:00+00:00,2021-05-16 03:30:00+00:00,2021-05-16 03:45:00+00:00,1.0,2.0,0.25,0.75,0.25,0.25,0.25,1.5,1.25,1.0,2.0,True,True,True
268,2021-05-24 22:00:00+00:00,-1,38773.42,38484.18142857143,578.4771428571429,2021-05-25 02:00:00+00:00,2021-05-25 02:15:00+00:00,1.5562462030849444,2021-05-25 00:00:00+00:00,2021-05-25 01:30:00+00:00,2021-05-25 02:00:00+00:00,6,2021-05-24 22:15:00+00:00,2021-05-25 00:00:00+00:00,2021-05-25 02:00:00+00:00,1.0,8.0,0.25,1.75,1.5,2.0,0.25,4.25,4.0,1.0,8.0,True,True,True
