impulse_dir,btc_z15,btc_z60,btc_z4h,btc_z24h,btc_vol_z,btc_range_z,btc_corr7d_lag,hour_sin,hour_cos,event_i,event_time,split,event_open,event_high,event_low,event_close,common_exit,parent_family,raw_24h,cont_24h,rev_24h
1.0,-0.3103842803907533,-0.5252329737486956,2.8461570102750167,2.8388036235227614,0.5763628711152491,0.058447732083719534,0.015470441917157097,-0.0654031292301428,0.9978589232386035,156889,2025-06-23 23:45:00+00:00,BRIDGE_2025,103161.3,106074.2,102880.0,105333.93,106083.0,H4_DISPLACEMENT_EXTREME,0.007111288156504969,0.007111288156504969,-0.007111288156504969
1.0,1.8548742598092351,6.01948003804826,3.706700478912453,1.6622992914317751,3.388109868618602,2.966897132241629,-0.011327347424490293,-0.8968727415326885,0.442288690219001,158409,2025-07-09 19:45:00+00:00,BRIDGE_2025,109071.32,111999.79,109047.49,111750.0,113301.81,H4_DISPLACEMENT_EXTREME,0.013886533681121582,0.013886533681121582,-0.013886533681121582
1.0,1.0923900093200862,-0.017502278268847152,3.4437362297649328,2.6231613327079706,1.0099395042165042,0.20458075267605275,0.09651770643214287,-0.0654031292301428,0.9978589232386035,158521,2025-07-10 23:45:00+00:00,BRIDGE_2025,113301.8,116868.0,113270.98,116010.0,117527.66,H4_DISPLACEMENT_EXTREME,0.013082060763549785,0.013082060763549785,-0.013082060763549785
-1.0,-0.6098881355567279,-2.805603119197478,-3.4214921580655755,-2.0524321885364025,1.4671538580987957,0.8586559024614624,0.024215110294176265,0.8314696123025451,0.5555702330196024,158921,2025-07-15 03:45:00+00:00,BRIDGE_2025,119841.17,119940.83,116840.01,117148.47,117482.67,H4_DISPLACEMENT_EXTREME,0.0028528757441625974,-0.0028528757441625974,0.0028528757441625974
-1.0,0.08663586304160165,-2.568355939988194,-4.305986642660188,-1.9467999573414674,2.3331028207549704,0.7082323365685297,-0.01577157014679464,0.8314696123025451,0.5555702330196024,159881,2025-07-25 03:45:00+00:00,BRIDGE_2025,118340.98,118451.57,115330.86,115419.66,117489.62,H4_DISPLACEMENT_EXTREME,0.01793429455036466,-0.01793429455036466,0.01793429455036466
-1.0,0.4191545432789987,-1.3701263241271464,-2.910565350038077,-1.988685466076111,1.515460058446623,0.799034750987752,-0.05100446534722965,-0.8968727415326885,0.442288690219001,160617,2025-08-01 19:45:00+00:00,BRIDGE_2025,115357.82,115695.52,113221.93,113328.68,112229.42,H4_DISPLACEMENT_EXTREME,-0.009699663818520055,0.009699663818520055,-0.009699663818520055
1.0,1.4176334459628226,3.1455676600314506,2.919218747105733,1.0887314806230193,0.9139865082707924,0.48227619760968593,0.04167206539242822,0.8314696123025451,0.5555702330196024,161417,2025-08-10 03:45:00+00:00,BRIDGE_2025,116462.25,118500.0,116460.63,118500.0,121728.99,H4_DISPLACEMENT_EXTREME,0.02724886075949362,0.02724886075949362,-0.02724886075949362
1.0,0.6803198380963185,-0.3882619782901158,3.3357218447997923,1.9717923012828724,1.47330255829945,0.6398192390455053,0.06934746267186186,0.8314696123025451,0.5555702330196024,161513,2025-08-11 03:45:00+00:00,BRIDGE_2025,119294.27,122164.07,118972.59,121728.99,118857.7,H4_DISPLACEMENT_EXTREME,-0.023587641400159343,-0.023587641400159343,0.023587641400159343
-1.0,0.830512063240321,-1.404875318958331,-3.666507603613332,-1.777717341157598,1.411797008263638,0.6080706903584481,-0.026572196769477113,-0.8314696123025452,-0.5555702330196022,161849,2025-08-14 15:45:00+00:00,BRIDGE_2025,120949.66,121183.06,117632.0,118257.25,117275.22,H4_DISPLACEMENT_EXTREME,-0.0083042681692439,0.0083042681692439,-0.0083042681692439
-1.0,0.8322186445914387,-0.3647936699869139,-2.933550355374896,-1.4780721739118414,1.6448831204620822,0.8006948386124952,-0.08038397913399119,0.8314696123025451,0.5555702330196024,162185,2025-08-18 03:45:00+00:00,BRIDGE_2025,117405.01,117543.75,115000.0,115319.0,114810.0,H4_DISPLACEMENT_EXTREME,-0.004413843338912038,0.004413843338912038,-0.004413843338912038
1.0,-2.946117220352125,1.479619894644596,5.607838935708094,2.3052658897631875,1.9457274867648384,3.789206264237385,-0.024080765750123124,-0.8314696123025452,-0.5555702330196022,162617,2025-08-22 15:45:00+00:00,BRIDGE_2025,112320.01,117296.12,111684.79,116370.75,114812.87,H4_DISPLACEMENT_EXTREME,-0.01338721285202682,-0.01338721285202682,0.01338721285202682
-1.0,-2.7634967243111084,-0.7940184162628036,-3.1839009663538502,-2.2007111537708886,1.8798683668993612,1.709707707942125,-0.07247000138955804,0.8968727415326884,-0.44228869021900113,165561,2025-09-22 07:45:00+00:00,BRIDGE_2025,114649.89,114649.9,111800.0,112519.99,113090.13,H4_DISPLACEMENT_EXTREME,0.005066921436189142,-0.005066921436189142,0.005066921436189142
-1.0,-1.1826618431760778,-1.228528101914243,-3.524850365536285,-2.9683379101558844,0.8318376690437245,0.3022495802685376,-0.047276527521686595,-0.8968727415326885,0.442288690219001,165897,2025-09-25 19:45:00+00:00,BRIDGE_2025,111580.77,111672.58,108631.51,109360.0,109172.2,H4_DISPLACEMENT_EXTREME,-0.0017172640819312912,0.0017172640819312912,-0.0017172640819312912
1.0,-0.531391763755109,0.6967006996440308,3.0423359789655726,1.9151976684059049,-0.11259705202888498,0.04644196872154985,-0.023059436421077415,-0.0654031292301428,0.9978589232386035,166201,2025-09-28 23:45:00+00:00,BRIDGE_2025,110337.61,112350.0,110294.78,112163.95,114311.96,H4_DISPLACEMENT_EXTREME,0.019150536411161045,0.019150536411161045,-0.019150536411161045
1.0,-0.8262380185023763,-0.6922640622709129,2.745263876566918,2.7444134165873355,0.7673500623233906,0.4395441983404342,-0.053208270220551315,-0.8314696123025452,-0.5555702330196022,166265,2025-09-29 15:45:00+00:00,BRIDGE_2025,112100.0,114231.56,111901.26,113815.57,113106.16,H4_DISPLACEMENT_EXTREME,-0.006232978493188601,-0.006232978493188601,0.006232978493188601
1.0,1.2748786964214451,1.505959303640486,3.494686377875485,2.4507024114200084,1.5722082957489236,0.564824912906253,-0.0023847558357594236,0.06540312923014312,-0.9978589232386035,166441,2025-10-01 11:45:00+00:00,BRIDGE_2025,114539.02,116795.85,114484.43,116789.58,118765.73,H4_DISPLACEMENT_EXTREME,0.016920689064956695,0.016920689064956695,-0.016920689064956695
1.0,3.2880795270664174,4.041256035842692,2.862996373416027,1.2278929657890105,3.0886766020248095,3.3273202629097756,0.012632611178475573,-0.8314696123025452,-0.5555702330196022,166649,2025-10-03 15:45:00+00:00,BRIDGE_2025,120334.51,122366.0,119881.24,122258.05,121791.31,H4_DISPLACEMENT_EXTREME,-0.003817581240464829,-0.003817581240464829,0.003817581240464829
-1.0,0.9146781424200907,-2.622391755121676,-3.8932502659711887,-2.159498232547774,2.310266774178278,1.9631687623587393,0.01894356483953705,-0.8314696123025452,-0.5555702330196022,167033,2025-10-07 15:45:00+00:00,BRIDGE_2025,124453.37,125126.0,121172.89,121846.01,122189.72,H4_DISPLACEMENT_EXTREME,0.0028208556029041265,-0.0028208556029041265,0.0028208556029041265
-1.0,-3.0775323357674704,-4.221985612828095,-3.6453985291693143,-1.397553791493035,2.2742286392586473,3.018389104865654,-0.0327906857253118,-0.8314696123025452,-0.5555702330196022,167321,2025-10-10 15:45:00+00:00,BRIDGE_2025,121554.55,122550.0,118500.0,119018.98,111793.2,H4_DISPLACEMENT_EXTREME,-0.06071123608089779,0.06071123608089779,-0.06071123608089779
-1.0,-1.4800456707118652,-1.664224296568533,-3.234209389324876,-2.627047841821092,1.588214121901084,1.8036820924544938,-0.05047245040002467,-0.8968727415326885,0.442288690219001,167337,2025-10-10 19:45:00+00:00,BRIDGE_2025,119018.99,119456.28,115952.47,116661.5,111178.31,H4_DISPLACEMENT_EXTREME,-0.04700085289491396,0.04700085289491396,-0.04700085289491396
-1.0,-8.636678094476041,-2.224133379812881,-4.909170186887658,-5.020880605441289,3.0264148852023856,5.640154848755589,0.11367014345864491,-0.0654031292301428,0.9978589232386035,167353,2025-10-10 23:45:00+00:00,BRIDGE_2025,116661.5,117214.64,102000.0,112774.5,110644.4,H4_DISPLACEMENT_EXTREME,-0.01888804817472467,0.01888804817472467,-0.01888804817472467
-1.0,-2.9602348891889694,-4.355319226651804,-3.3177633883184083,-0.8996835112419287,3.2388140543862463,1.95685290782783,0.07888191678337779,-0.8314696123025452,-0.5555702330196022,167897,2025-10-16 15:45:00+00:00,BRIDGE_2025,111404.73,111982.45,108361.69,108549.21,106803.53,H4_DISPLACEMENT_EXTREME,-0.016081922659778036,0.016081922659778036,-0.016081922659778036
-1.0,-0.5316595993821579,-2.4269161858921424,-4.071885324022191,-2.0222677800271964,2.036782112092601,0.6011451816482902,0.08122976156304408,0.8968727415326884,-0.44228869021900113,167961,2025-10-17 07:45:00+00:00,BRIDGE_2025,109176.74,109236.01,105542.09,105633.75,106665.0,H4_DISPLACEMENT_EXTREME,0.00976250488125241,-0.00976250488125241,0.00976250488125241
1.0,0.32585392576841204,2.4068697202161817,4.958470972441628,0.9558407433336031,1.8159196689099384,0.42822329423260047,-0.000781000987310747,-0.8314696123025452,-0.5555702330196022,168377,2025-10-21 15:45:00+00:00,BRIDGE_2025,108580.0,113557.62,107922.06,113422.61,108416.5,H4_DISPLACEMENT_EXTREME,-0.04413670644122081,-0.04413670644122081,0.04413670644122081
