split,state_feature,state,horizon,n,cont_win_rate,cont_mean,cont_ci_lo,cont_ci_hi,cont_median,rev_mean
DEV_2021_2024,paxg_pre_state,NEUTRAL,15m,504,0.43253968253968256,0.0001505166889464301,-0.00045361091441052946,0.0008701697824676093,-0.0006640131761279644,-0.0001505166889464301
DEV_2021_2024,paxg_pre_state,ALL,15m,1155,0.4510822510822511,0.00016184125805538533,-0.00024892504813311473,0.0005639589830354908,-0.0005565128719229318,-0.00016184125805538533
BRIDGE_2025,paxg_pre_state,ALIGNED_LEAD,15m,77,0.4805194805194805,0.0003825072282568357,-0.0008014634188919645,0.0018010548011551499,-0.0003004763691499823,-0.0003825072282568357
BRIDGE_2025,paxg_pre_state,INVERSE_LEAD,15m,98,0.45918367346938777,-0.00044428711881850844,-0.0015261205688982004,0.0006229977834978565,-0.0004661347947441108,0.00044428711881850844
BRIDGE_2025,paxg_pre_state,NEUTRAL,15m,126,0.49206349206349204,-3.842522522738767e-05,-0.0010000944056485432,0.0009560695751524214,-0.00010256943128017504,3.842522522738767e-05
BRIDGE_2025,paxg_pre_state,ALL,15m,301,0.47840531561461797,-6.28859117843466e-05,-0.0006842359693029654,0.0005380838354627664,-0.00027948494507756827,6.28859117843466e-05
OOS_2026,paxg_pre_state,ALIGNED_LEAD,15m,70,0.35714285714285715,-0.0006696249252715233,-0.0018353519312411918,0.0004905117300812031,-0.0010958013983136672,0.0006696249252715233
OOS_2026,paxg_pre_state,INVERSE_LEAD,15m,51,0.39215686274509803,-0.00045405640819198465,-0.001971748924515195,0.0011821815089700734,-0.0010661283268266208,0.00045405640819198465
OOS_2026,paxg_pre_state,NEUTRAL,15m,82,0.47560975609756095,0.0005440054402503002,-0.0008023592048443913,0.0020237041841601865,-0.00046535681682235985,-0.0005440054402503002
OOS_2026,paxg_pre_state,ALL,15m,203,0.41379310344827586,-0.00012523239155799623,-0.0009299286495643214,0.0006605546845694891,-0.0010202698521677434,0.00012523239155799623
