time,ratio,ratio_reported,longAccount,shortAccount,p_lo,p_hi,r_lo,r_hi,cell_width,cell_valid,archive_inside_cell
2026-08-25 07:05:00+00:00,0.86166373,0.8615,0.4628,0.5372,0.46275,0.46285,0.8613308515588646,0.8616773713115516,0.0003465197526870689,True,True
2026-08-25 07:10:00+00:00,0.86127343,0.8612,0.4627,0.5373,0.46265,0.46275,0.8609844607797525,0.8613308515588646,0.00034639077911202687,True,True
2026-08-25 07:15:00+00:00,0.86032101,0.8605,0.4625,0.5375,0.46245,0.46255,0.8602920658543393,0.8606381989022235,0.00034613304788422283,True,True
2026-08-25 07:20:00+00:00,0.86046814,0.8605,0.4625,0.5375,0.46245,0.46255,0.8602920658543393,0.8606381989022235,0.00034613304788422283,True,True
2026-08-25 07:25:00+00:00,0.85990118,0.8598,0.4623,0.5377,0.46225000000000005,0.46235,0.8596001859600187,0.8599460615642147,0.0003458756041959665,True,True
2026-08-25 07:30:00+00:00,0.85851874,0.8584,0.4619,0.5381,0.46185,0.46194999999999997,0.8582179689677598,0.8585633305454883,0.00034536157772846465,True,True
2026-08-25 07:35:00+00:00,0.85723401,0.8574,0.4616,0.5384,0.46155,0.46165,0.8571826539140125,0.857527630723507,0.0003449768094945238,True,True
2026-08-25 07:40:00+00:00,0.85663048,0.8567,0.4614,0.5386,0.46135000000000004,0.46144999999999997,0.8564930845632601,0.856837805217714,0.00034472065445390054,True,True
2026-08-25 07:45:00+00:00,0.85501895,0.8549,0.4609,0.5391,0.46085,0.46094999999999997,0.8547713994250208,0.8551154809386884,0.00034408151366760453,True,True
2026-08-25 07:50:00+00:00,0.86670442,0.8667,0.4643,0.5357,0.46425000000000005,0.46435,0.8665422305179656,0.8668906935498927,0.00034846303192703765,True,True
2026-08-25 07:55:00+00:00,0.87172906,0.8716,0.4657,0.5343,0.46565,0.46575,0.8714325816412464,0.8717828731867103,0.00035029154546395436,True,True
2026-08-25 08:00:00+00:00,0.87623157,0.8762,0.467,0.533,0.46695000000000003,0.46704999999999997,0.8759966232060783,0.8763486255746317,0.0003520023685533724,True,True
2026-08-25 08:05:00+00:00,0.8809733,0.8811,0.4684,0.5316,0.46835000000000004,0.46845,0.8809367064798271,0.8812905653278149,0.0003538588479877758,True,True
2026-08-25 08:10:00+00:00,0.88570696,0.8857,0.4697,0.5303,0.46965,0.46975,0.8855472800980485,0.8859028760018859,0.00035559590383738016,True,True
2026-08-25 08:15:00+00:00,0.88907126,0.8889,0.4706,0.5294,0.47055,0.47065,0.8887524789876288,0.8891092849721357,0.000356805984506936,True,True
2026-08-25 08:20:00+00:00,0.89153463,0.8914,0.4713,0.5287,0.47125000000000006,0.47135,0.8912529550827425,0.8916107065165988,0.0003577514338563015,True,True
2026-08-25 08:25:00+00:00,0.89251105,0.8925,0.4716,0.5284,0.47155,0.47165,0.8923266155738482,0.8926847733509985,0.00035815777715031416,True,True
2026-08-25 08:30:00+00:00,0.88798835,0.8879,0.4703,0.5297,0.47025000000000006,0.47035,0.8876828692779615,0.8880392712168413,0.00035640193887986893,True,True
2026-08-25 08:35:00+00:00,0.88341394,0.8832,0.469,0.531,0.46895,0.46904999999999997,0.8830618585820543,0.8834165175628589,0.0003546589808045564,True,True
