source_index,parent_time,signal_time,fill_time,real_fill,real_R,episode_7d,ret_24h,ret_72h,ret_7d,range_pos_7d,range_pos_30d,rv_ratio_24h_7d,range_ratio_24h_7d,parent_range_pct,parent_body_frac,parent_reclaim_frac,router_conf,child_latency_h,child_parent_range_ratio,prior_virtual_fills,episode_age_h,parent_bin,response_bin,parent_class,vf_class
76,2023-02-09 07:45:00+00:00,2023-02-09 08:15:00+00:00,2023-02-09 08:30:00+00:00,False,0.0,33,-0.0191555134257219,-0.0043732716493363,-0.0459726913924318,0.2175988743152926,0.7853727037027571,1.0309510885823436,0.4864510221060815,0.0169237546860371,0.4087083409333673,0.8408682283659493,0.3984719956720459,0.5,0.231414649399383,0.0,0.0,1P5_2,MID,LARGE,VF1
77,2023-02-10 07:45:00+00:00,2023-02-10 10:45:00+00:00,2023-02-10 11:00:00+00:00,True,-1.3841514778324866,33,-0.0374099115669603,-0.0493453784909266,-0.0675373881173151,0.1084316629245687,0.6533389053808689,1.1432959480011984,0.5775617446137672,0.0138647326018827,0.283475971033572,0.9523041474654323,0.3602286776075005,3.0,0.0935483870967806,1.0,26.5,1_1P5,LOW,COMPACT,VF1
78,2023-02-10 23:45:00+00:00,2023-02-11 03:00:00+00:00,,False,0.0,33,-0.0083392965015166,-0.0662063784314542,-0.071426095848942,0.1173915892136767,0.5987458647325533,0.8722964176659758,0.222722975692397,0.0157187058240874,0.4326606260296554,0.5124441044951741,0.361605236764146,3.25,0.2327900682513574,2.0,42.75,1P5_2,MID,LARGE,VF2PLUS
79,2023-02-13 19:45:00+00:00,2023-02-13 20:00:00+00:00,,False,0.0,33,-0.0171791332346412,-0.0059989932723933,-0.0591058282121829,0.1295045527456896,0.3160206349000092,1.0055443301697282,0.3157506437625237,0.0151301774682395,0.1406111399993916,0.7853057229376361,0.3324570828618629,0.25,0.2326186033707497,2.0,107.75,1P5_2,MID,LARGE,VF2PLUS
80,2023-02-25 23:45:00+00:00,2023-02-26 02:30:00+00:00,,False,0.0,34,0.0037225300378405,-0.0559679382107962,-0.0613323283835504,0.1749604430379744,0.46505836216603,0.5838135574004139,0.1835403481012664,0.0200366453959849,0.3734778766783773,0.9376710704972052,0.3938359338480783,2.75,0.1900040949158377,0.0,0.0,2_3,MID,LARGE,VF1
81,2023-03-08 07:45:00+00:00,2023-03-08 08:30:00+00:00,2023-03-08 08:45:00+00:00,False,0.0,35,-0.0178221974344673,-0.0153632965402054,-0.0734452480578096,0.0800650039122726,0.1697876083951242,1.0757466317494124,0.3008282905915635,0.0149105435657772,0.5539987789987864,0.3995726495726447,0.4346363418702442,0.75,0.1011294261294296,0.0,0.0,1_1P5,LOW,COMPACT,VF1
82,2023-03-09 11:45:00+00:00,2023-03-09 13:45:00+00:00,,False,0.0,35,-0.0129791224403297,-0.0327993557866235,-0.0688658219267707,0.086624977946797,0.0904581513389567,0.858266101755143,0.3440495559955309,0.0079836155902937,0.1107514450867043,0.8230057803468267,0.4083582900970384,2.0,0.5084393063583764,1.0,29.25,LT1,HIGH,COMPACT,VF1
83,2023-03-10 03:45:00+00:00,2023-03-10 05:15:00+00:00,,False,0.0,35,-0.0821706210842985,-0.1118070152478678,-0.1069055823940122,0.0612778815400555,0.032306742324317,1.8047011990580304,0.7133966533489039,0.029501193642352,0.5242747988369745,0.4663094191628907,0.4695738530314031,1.5,0.183362634390428,1.0,44.75,2_3,MID,LARGE,VF1
86,2023-04-18 03:45:00+00:00,2023-04-18 04:15:00+00:00,,False,0.0,37,-0.0161893051335705,-0.0290154815374154,-0.0215500462991871,0.1906768529124332,0.6570863740187808,0.9240118377705246,0.478546883702358,0.0136930803453935,0.0414661971132412,0.8685333068796234,0.4251832779600089,0.5,0.123108972769206,1.0,91.75,1_1P5,LOW,COMPACT,VF1
87,2023-04-21 07:45:00+00:00,2023-04-21 10:15:00+00:00,2023-04-21 10:30:00+00:00,True,-1.194102184734514,37,-0.0245267613091997,-0.0606823569902247,-0.0876277952679238,0.0972970656963653,0.3568588513444317,1.2199147342305825,0.3832425324065373,0.0188992872676747,0.3126985021893955,0.6373494202326568,0.3970659703490476,2.5,0.1359117475709902,1.0,169.75,1P5_2,LOW,LARGE,VF1
88,2023-04-21 23:45:00+00:00,2023-04-22 01:30:00+00:00,2023-04-22 02:15:00+00:00,True,1.305908022228556,37,-0.0334085146869402,-0.0996931189060273,-0.1022289392166129,0.0446249478100666,0.1713544055246603,1.2391295962809938,0.3570813345440423,0.0104398514608162,0.0599395685475418,0.4842948492727167,0.3721540945374665,1.75,0.2465743798749228,2.0,185.0,1_1P5,MID,COMPACT,VF2PLUS
89,2023-05-08 11:45:00+00:00,2023-05-08 13:15:00+00:00,2023-05-08 13:45:00+00:00,False,0.0,38,-0.0338438888145142,-0.0371778930033718,-0.0234352764127634,0.1570983374870161,0.2431639710340683,1.0564568519638196,0.6771630725058968,0.0147525836710629,0.1004125212327124,0.8664887163309872,0.4016200432150402,1.5,0.3050473186119836,0.0,0.0,1_1P5,HIGH,COMPACT,VF1
90,2023-05-10 19:45:00+00:00,2023-05-10 20:15:00+00:00,2023-05-10 21:15:00+00:00,True,-1.0507475834797892,38,0.0077419490205625,-0.0370683266227158,-0.0195751186688117,0.3548866250410773,0.2557234193701156,1.5109184377593836,0.5108182714426547,0.0549666224425164,0.3028282363761786,0.6012942219886329,0.3366662244260489,0.5,0.1794304109319046,1.0,55.0,GE3,MID,LARGE,VF1
91,2023-05-11 19:45:00+00:00,2023-05-11 20:00:00+00:00,,False,0.0,38,-0.0290521781464652,-0.0185674070307287,-0.0664574091860472,0.0648021937490977,0.0470107842110772,1.0112677141715976,0.4105838772270241,0.0192776156211757,0.6500473457398501,0.2724795640326969,0.3449137885309996,0.25,0.1916439600363267,2.0,78.75,1P5_2,MID,LARGE,VF2PLUS
