signal_ts,entry_ts,exit_ts,side,entry_price,atr,rejection_ts,rejection_minute,rejection_close,action_minute,action_close,anchor_high,anchor_low,early_R,original_R,delta_R,saved_R,given_up_R,original_exit_ts,original_exit_reason,mfe_15m,mae_15m,ret_15m,mfe_30m,mae_30m,ret_30m,mfe_60m,mae_60m,ret_60m,mfe_120m,mae_120m,ret_120m,period
1618012800,1618013100,1618013580,-1,58117.72,143.27642857142772,1618013400,5,58243.61,8,58289.81,58220.0,58114.28,-0.8142576218797715,-1.0135211168553568,0.19926349497558538,0.19926349497558538,0.0,1618013700,INITIAL_STOP,0.09540997173295214,1.6757117859083446,-0.8208607736294067,0.6820382178306792,1.6757117859083446,0.6535617961283631,1.2128303429434966,1.6757117859083446,-0.3156136738672098,1.2128303429434966,3.1287770393894028,-2.9105276014896595,historical
1618109100,1618110300,1618110900,1,60767.35,268.566428571427,1618110720,7,60492.07,10,60470.01,60780.0,60529.43,-0.7456339426531833,-1.0075421873988726,0.2619082447456893,0.2619082447456893,0.0,1618111800,INITIAL_STOP,0.1844236461848991,1.1779208655480302,-0.9280013191734854,0.1844236461848991,1.690643176867648,-1.4013292800663868,0.1844236461848991,2.222020090799583,-2.0053511634525214,0.1844236461848991,3.3784937485538435,-2.6496610309234656,historical
1618491000,1618491300,1618491840,-1,62672.08,226.30142857142866,1618491660,6,62803.74,9,62778.51,62766.0,62662.81,-0.3227659813186381,-1.0092313572500318,0.6864653759313937,0.6864653759313937,0.0,1618493100,INITIAL_STOP,0.038886188459147625,0.9976516782294014,-0.5962401600898938,0.038886188459147625,1.5939802160203567,-1.1937617968449221,0.038886188459147625,2.2211083826249407,-1.7565509970898248,0.038886188459147625,2.2211083826249407,-0.2612444842845303,historical
1618541400,1618542000,1618542780,-1,62936.12,273.7964285714287,1618542600,10,63031.3,13,63050.0,63023.5,62840.0,-0.28494845996981816,2.315771574466613,-2.6007200344364314,0.0,2.6007200344364314,1618548300,PROFIT_STOP,0.3754249116262112,0.46702581427805695,-0.23338507493834526,0.3754249116262112,1.2646987464617752,-0.957390136049975,0.3754249116262112,1.2797098991690805,-0.3985808016905059,4.63742352895138,1.2797098991690805,4.3557544056454995,historical
1618979400,1618981500,1618982100,-1,55232.35,323.0592857142853,1618981920,7,55445.7,10,55661.86,55390.64,55200.0,-0.8920377499633395,-1.0056988869063572,0.11366113694301772,0.11366113694301772,0.0,1618986300,INITIAL_STOP,0.4038268075519067,1.3746393298001607,-0.9652717435764905,0.4038268075519067,1.3746393298001607,-0.12211380927429548,0.5462155331949224,1.3746393298001607,0.12963564847672013,0.5462155331949224,1.8155491141608229,-0.4168894254261174,historical
1619588400,1619589000,1619590080,1,54585.16,208.8535714285707,1619589900,15,54404.71,18,54383.33,54645.7,54422.58,-0.6529590934637585,-1.0087118708140352,0.35575277735027677,0.35575277735027677,0.0,1619590200,INITIAL_STOP,0.34469125669042733,0.9829853451666585,-0.8640024624224321,0.34469125669042733,2.322967219001718,-1.6179756835787529,0.34469125669042733,3.5104020246584535,-1.9622838967834761,0.34469125669042733,3.5104020246584535,-1.395331657518115,historical
1619757300,1619758200,1619758980,-1,54040.76,214.79714285714363,1619758800,10,54136.77,13,54223.33,54113.86,54022.7,-0.5750294922784259,-1.0083863250819098,0.4333568328034839,0.4333568328034839,0.0,1619762700,INITIAL_STOP,0.1297968847683741,0.9974061905585205,-0.3896699876295093,0.1297968847683741,0.9974061905585205,-0.35279798880005714,0.5548956490509406,0.9974061905585205,-0.5318506497825076,0.5548956490509406,2.03173093550058,-1.1743638516074926,historical
1619969400,1619971500,1619972040,-1,56567.21,224.12857142857214,1619971860,6,56748.14,9,56760.25,56709.07,56530.67,-0.5826071444961446,-1.0084129107442574,0.42580576624811284,0.42580576624811284,0.0,1619977500,INITIAL_STOP,0.8772197080757217,1.2489259991076433,-0.891274141117987,0.8772197080757217,1.2489259991076433,-0.212155013066492,0.8772197080757217,1.2489259991076433,-0.19310344827585627,0.8772197080757217,1.5881063165275087,-1.1506788195551052,historical
1620454800,1620455400,1620455760,1,57826.37,259.0464285714282,1620455580,3,57720.22,6,57708.01,57834.32,57761.2,-0.31204526840656627,2.915192908239471,-3.227238176646037,0.0,3.227238176646037,1620461400,PROFIT_STOP,0.003165455723600552,1.1885900210938543,-0.14402823542389534,0.15302276205313242,1.1885900210938543,0.14151903271612862,1.2566473191512804,1.1885900210938543,1.077142817751917,6.343110032674778,1.1885900210938543,5.403934760729589,historical
1620889200,1620889800,1620890100,-1,51195.02,403.07142857142907,1620889920,2,51264.04,5,51280.74,51262.66,51080.0,-0.14601175663063556,1.4957662574280852,-1.6417780140587208,0.0,1.6417780140587208,1620897600,PROFIT_STOP,0.6347758284600216,0.23514442672338898,0.5674924685450944,0.872252348041807,0.23514442672338898,0.8209711146553148,1.5923232323232297,0.23514442672338898,1.260074428495465,2.964784688995204,0.23514442672338898,2.1503880914407074,historical
